carrier,symbol,market,timestamp,trading_day,open,high,low,close,volume,amount,available_at,ingested_at,source_kind,dataset_version,instrument_type,trading_month
512100.SH,512100,cn_a,2021-01-04T10:47:00Z,2021-01-04,0.951,0.951,0.95,0.95,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2021-01
512100.SH,512100,cn_a,2021-01-04T10:53:00Z,2021-01-04,0.95,0.951,0.95,0.951,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2021-01
512100.SH,512100,cn_a,2021-01-04T10:59:00Z,2021-01-04,0.951,0.952,0.951,0.951,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2021-01
512100.SH,512100,cn_a,2022-01-04T10:41:00Z,2022-01-04,1.157,1.157,1.156,1.157,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2022-01
512100.SH,512100,cn_a,2022-01-04T11:07:00Z,2022-01-04,1.159,1.159,1.158,1.159,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2022-01
512100.SH,512100,cn_a,2022-01-04T13:33:00Z,2022-01-04,1.166,1.166,1.165,1.165,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2022-01
512100.SH,512100,cn_a,2023-03-15T14:49:00Z,2023-03-15,2.713,2.714,2.713,2.714,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2023-03
512100.SH,512100,cn_a,2023-03-22T10:29:00Z,2023-03-22,2.727,2.728,2.727,2.728,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2023-03
512100.SH,512100,cn_a,2023-03-29T13:15:00Z,2023-03-29,2.718,2.719,2.718,2.719,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2023-03
512100.SH,512100,cn_a,2024-01-10T14:15:00Z,2024-01-10,2.229,2.229,2.227,2.229,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2024-01
512100.SH,512100,cn_a,2024-01-10T14:17:00Z,2024-01-10,2.227,2.227,2.226,2.226,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2024-01
512100.SH,512100,cn_a,2024-01-12T13:39:00Z,2024-01-12,2.253,2.253,2.252,2.252,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2024-01
512100.SH,512100,cn_a,2025-12-01T13:26:00Z,2025-12-01,2.981,2.982,2.981,2.982,0.0,0.0,2026-06-26T15:00:39.908240+00:00,2026-06-26T15:00:39.908240+00:00,baidu_netdisk_etf_archive,bars_cn_a_1m_raw_canonical_4ceca170a851,etf,2025-12
