symbol,timestamp,open,high,low,close,volume
588000.SH,2022-01-04T09:30:00+08:00,1.454,1.454,1.454,1.454,20016.0
588000.SH,2022-01-04T09:31:00+08:00,1.455,1.457,1.454,1.455,56554.0
588000.SH,2022-01-04T09:32:00+08:00,1.455,1.455,1.45,1.45,29764.0
588000.SH,2022-01-04T09:33:00+08:00,1.45,1.45,1.447,1.447,17147.0
588000.SH,2022-01-04T09:34:00+08:00,1.447,1.447,1.444,1.444,22334.0
588000.SH,2022-01-04T09:35:00+08:00,1.444,1.445,1.443,1.444,26183.0
588000.SH,2022-01-04T09:36:00+08:00,1.444,1.445,1.443,1.443,25548.0
588000.SH,2022-01-04T09:37:00+08:00,1.444,1.446,1.443,1.446,32172.0
588000.SH,2022-01-04T09:38:00+08:00,1.446,1.446,1.443,1.443,18949.0
588000.SH,2022-01-04T09:39:00+08:00,1.443,1.443,1.44,1.44,35349.0
588000.SH,2022-01-04T09:40:00+08:00,1.44,1.44,1.438,1.439,26253.0
588000.SH,2022-01-04T09:41:00+08:00,1.439,1.441,1.439,1.44,23718.0
588000.SH,2022-01-04T09:42:00+08:00,1.44,1.44,1.439,1.44,26541.0
588000.SH,2022-01-04T09:43:00+08:00,1.44,1.441,1.438,1.44,29834.0
588000.SH,2022-01-04T09:44:00+08:00,1.439,1.44,1.438,1.439,22792.0
588000.SH,2022-01-04T09:45:00+08:00,1.438,1.439,1.438,1.439,13109.0
588000.SH,2022-01-04T09:46:00+08:00,1.439,1.439,1.437,1.438,28467.0
588000.SH,2022-01-04T09:47:00+08:00,1.438,1.438,1.437,1.437,15817.0
588000.SH,2022-01-04T09:48:00+08:00,1.437,1.438,1.436,1.437,28933.0
588000.SH,2022-01-04T09:49:00+08:00,1.437,1.437,1.435,1.435,42106.0
588000.SH,2022-01-04T09:50:00+08:00,1.435,1.435,1.434,1.434,39958.0
588000.SH,2022-01-04T09:51:00+08:00,1.434,1.434,1.432,1.432,47085.0
588000.SH,2022-01-04T09:52:00+08:00,1.432,1.432,1.431,1.432,35033.0
588000.SH,2022-01-04T09:53:00+08:00,1.432,1.432,1.431,1.431,45140.0
588000.SH,2022-01-04T09:54:00+08:00,1.431,1.431,1.43,1.431,29679.0
588000.SH,2022-01-04T09:55:00+08:00,1.431,1.432,1.43,1.431,18587.0
588000.SH,2022-01-04T09:56:00+08:00,1.432,1.432,1.431,1.432,30745.0
588000.SH,2022-01-04T09:57:00+08:00,1.432,1.432,1.431,1.432,27374.0
588000.SH,2022-01-04T09:58:00+08:00,1.432,1.433,1.431,1.432,9900.0
588000.SH,2022-01-04T09:59:00+08:00,1.433,1.433,1.432,1.433,8090.0
588000.SH,2022-01-04T10:00:00+08:00,1.433,1.433,1.431,1.432,32978.0
588000.SH,2022-01-04T10:01:00+08:00,1.431,1.431,1.429,1.43,66114.0
588000.SH,2022-01-04T10:02:00+08:00,1.429,1.431,1.429,1.43,37668.0
588000.SH,2022-01-04T10:03:00+08:00,1.43,1.43,1.429,1.429,29813.0
588000.SH,2022-01-04T10:04:00+08:00,1.43,1.43,1.428,1.428,43432.0
588000.SH,2022-01-04T10:05:00+08:00,1.428,1.429,1.426,1.428,56338.0
588000.SH,2022-01-04T10:06:00+08:00,1.427,1.428,1.426,1.426,36290.0
588000.SH,2022-01-04T10:07:00+08:00,1.426,1.426,1.424,1.424,43334.0
588000.SH,2022-01-04T10:08:00+08:00,1.424,1.425,1.423,1.424,32703.0
588000.SH,2022-01-04T10:09:00+08:00,1.424,1.425,1.424,1.424,23890.0
588000.SH,2022-01-04T10:10:00+08:00,1.424,1.424,1.423,1.424,15797.0
588000.SH,2022-01-04T10:11:00+08:00,1.424,1.424,1.423,1.423,30788.0
588000.SH,2022-01-04T10:12:00+08:00,1.422,1.423,1.422,1.423,10453.0
588000.SH,2022-01-04T10:13:00+08:00,1.422,1.423,1.421,1.422,45642.0
