contract_code,option_type,strike,expiry,timestamp,bid1,bid1_size,ask1,ask1_size,trading_status
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-26 09:42:48.700000,692.4,6,698.0,2,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-26 10:21:07.700000,731.2,12,735.8,1,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-26 10:31:05.200000,737.8,6,741.4,6,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-26 10:49:02.700000,753.0,10,758.8,5,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-26 13:59:08.200000,752.0,14,756.8,6,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-26 15:25:58.200000,781.4,1,789.0,1,AUCTION_OR_NONCONTINUOUS
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-28 09:46:29.700000,896.4,1,903.2,5,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-28 10:25:16.700000,948.8,6,955.2,8,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-28 13:07:43.700000,920.4,10,927.2,5,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 09:50:23.900000,937.6,6,943.4,6,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 10:00:13.900000,933.2,6,936.2,6,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 10:13:18.900000,933.0,6,939.8,10,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 10:21:07.400000,891.8,6,896.8,6,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 10:28:28.400000,884.2,6,891.0,7,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 10:50:10.400000,899.2,6,903.8,10,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 10:54:15.400000,898.0,3,901.2,6,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 10:54:46.400000,894.2,6,899.6,6,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 11:03:45.400000,916.0,6,919.4,6,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 13:22:02.900000,892.6,6,895.2,6,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 13:31:32.900000,895.6,6,896.8,1,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 13:31:40.900000,895.2,6,901.0,20,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 13:43:38.900000,902.4,6,909.6,2,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 13:45:09.400000,916.6,6,923.4,6,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 14:25:05.400000,901.6,6,910.8,6,TRADING
MO2208-C-6200,C,6200.0,2022-08-19,2022-07-29 15:28:27.900000,884.4,1,896.8,1,AUCTION_OR_NONCONTINUOUS
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-22 11:13:57.400000,715.6,2,721.6,11,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-22 11:15:08.400000,714.0,2,718.2,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-22 11:16:19.400000,714.0,1,715.4,3,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-22 11:16:21.900000,710.4,6,715.4,5,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-22 11:26:54.400000,675.8,5,683.8,12,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-22 13:23:41.900000,685.2,6,690.6,8,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-22 13:36:09.900000,635.2,8,639.6,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-22 14:05:43.900000,625.6,6,630.8,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-22 14:20:21.400000,622.0,14,630.0,7,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-22 14:24:12.400000,628.2,8,634.0,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-22 14:34:26.900000,669.4,14,675.4,1,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-22 15:29:23.900000,671.8,1,694.8,1,AUCTION_OR_NONCONTINUOUS
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 09:31:11.100000,692.2,6,703.8,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 09:34:08.600000,714.8,10,725.6,7,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 09:57:46.600000,679.8,2,685.4,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 09:58:21.600000,677.8,2,681.6,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 10:00:54.600000,679.6,6,684.4,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 10:05:29.100000,691.8,12,697.2,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 11:12:05.100000,656.2,20,661.4,2,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 11:24:46.100000,649.2,6,655.4,2,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 11:25:33.600000,651.2,5,656.8,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 11:28:37.600000,616.6,6,621.6,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 13:01:16.100000,594.4,2,604.6,2,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 13:01:51.600000,600.8,8,603.6,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 13:02:23.600000,605.0,2,610.8,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 13:04:14.100000,609.4,6,614.6,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 13:06:05.100000,612.6,9,618.2,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 13:09:12.100000,614.4,6,621.6,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 13:20:03.600000,599.8,6,604.0,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 13:20:54.600000,598.6,1,604.2,1,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 13:37:31.600000,606.4,6,610.0,5,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 13:52:14.600000,591.8,3,595.2,1,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 13:54:52.100000,590.0,6,595.2,2,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 14:00:35.100000,596.6,6,603.0,2,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 14:10:33.100000,614.6,6,618.6,16,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 14:13:02.600000,613.6,8,619.4,8,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 14:13:45.100000,612.4,6,619.0,6,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 14:14:14.600000,613.2,1,613.4,3,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 14:14:15.100000,608.2,7,613.4,2,TRADING
MO2208-C-6300,C,6300.0,2022-08-19,2022-07-25 14:17:06.600000,616.2,6,621.2,6,TRADING
