contract_code,option_type,strike,expiry,timestamp,bid1,bid1_size,ask1,ask1_size,trading_status
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 09:36:36.200000,1034.0,6,1039.8,12,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 09:49:53.700000,1053.6,6,1058.4,6,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 09:51:10.200000,1057.2,2,1059.2,6,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 09:51:13.200000,1055.2,6,1058.2,6,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 10:16:11.700000,1036.2,5,1039.2,6,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 10:42:55.700000,1024.0,6,1027.2,6,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 11:05:21.700000,1030.6,12,1033.8,6,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 11:05:35.200000,1031.0,6,1035.6,6,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 11:16:38.700000,1072.2,6,1075.2,6,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 11:20:01.200000,1085.8,6,1089.0,14,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 11:21:08.200000,1079.4,6,1082.4,6,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 11:21:53.200000,1075.2,6,1079.0,12,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 13:32:04.700000,1101.2,12,1105.4,2,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 13:48:04.200000,1120.2,6,1123.6,6,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 14:08:40.200000,1109.4,6,1113.6,6,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 14:46:41.700000,1111.6,6,1116.0,12,TRADING
MO2511-C-6300,C,6300.0,2025-11-21,2025-11-05 14:59:59.999000,1071.4,1,1117.4,1,TRADING
MO2511-C-6400,C,6400.0,2025-11-21,2025-11-05 09:34:29.200000,930.8,2,935.6,18,TRADING
MO2511-C-6400,C,6400.0,2025-11-21,2025-11-05 09:43:14.700000,940.6,6,945.2,6,TRADING
MO2511-C-6400,C,6400.0,2025-11-21,2025-11-05 09:47:11.200000,945.2,6,947.8,6,TRADING
