symbol,trading_day,timestamp,open,high,low,close
000852.SH,2016-01-04,2016-01-04T09:31:00Z,10598.27,10598.27,10588.49,10588.49
000852.SH,2016-01-04,2016-01-04T09:32:00Z,10588.5,10588.5,10577.53,10577.53
000852.SH,2016-01-04,2016-01-04T09:33:00Z,10577.98,10578.75,10576.53,10577.96
000852.SH,2016-01-04,2016-01-04T09:34:00Z,10578.68,10586.02,10578.22,10586.02
000852.SH,2016-01-04,2016-01-04T09:35:00Z,10588.24,10598.26,10588.24,10598.26
000852.SH,2016-01-04,2016-01-04T09:36:00Z,10598.24,10602.53,10598.24,10602.0
000852.SH,2016-01-04,2016-01-04T09:37:00Z,10601.67,10602.42,10592.35,10592.35
000852.SH,2016-01-04,2016-01-04T09:38:00Z,10592.25,10592.25,10571.99,10571.99
000852.SH,2016-01-04,2016-01-04T09:39:00Z,10571.78,10571.78,10544.47,10544.47
000852.SH,2016-01-04,2016-01-04T09:40:00Z,10540.83,10540.83,10514.93,10514.93
000852.SH,2016-01-04,2016-01-04T09:41:00Z,10512.18,10512.18,10489.78,10489.78
000852.SH,2016-01-04,2016-01-04T09:42:00Z,10487.72,10487.72,10472.41,10472.41
000852.SH,2016-01-04,2016-01-04T09:43:00Z,10472.07,10472.07,10470.93,10472.03
000852.SH,2016-01-04,2016-01-04T09:44:00Z,10472.1,10480.02,10471.67,10480.02
000852.SH,2016-01-04,2016-01-04T09:45:00Z,10480.65,10492.39,10480.65,10492.39
000852.SH,2016-01-04,2016-01-04T09:46:00Z,10492.33,10494.52,10490.57,10490.64
000852.SH,2016-01-04,2016-01-04T09:47:00Z,10489.66,10489.66,10464.5,10464.5
000852.SH,2016-01-04,2016-01-04T09:48:00Z,10462.3,10462.3,10429.61,10429.61
000852.SH,2016-01-04,2016-01-04T09:49:00Z,10425.57,10425.57,10394.86,10394.86
000852.SH,2016-01-04,2016-01-04T09:50:00Z,10393.17,10393.17,10370.09,10370.09
000852.SH,2016-01-04,2016-01-04T09:51:00Z,10368.99,10368.99,10360.79,10360.79
000852.SH,2016-01-04,2016-01-04T09:52:00Z,10360.83,10361.62,10359.7,10361.62
000852.SH,2016-01-04,2016-01-04T09:53:00Z,10361.26,10364.69,10361.26,10364.69
000852.SH,2016-01-04,2016-01-04T09:54:00Z,10364.95,10376.14,10364.95,10376.14
000852.SH,2016-01-04,2016-01-04T09:55:00Z,10379.18,10395.2,10379.18,10395.2
000852.SH,2016-01-04,2016-01-04T09:56:00Z,10395.75,10403.12,10395.75,10402.78
000852.SH,2016-01-04,2016-01-04T09:57:00Z,10402.12,10402.18,10393.54,10393.54
000852.SH,2016-01-04,2016-01-04T09:58:00Z,10393.23,10393.23,10382.46,10382.46
000852.SH,2016-01-04,2016-01-04T09:59:00Z,10381.58,10381.58,10377.37,10377.37
000852.SH,2016-01-04,2016-01-04T10:00:00Z,10377.47,10384.12,10377.47,10384.12
000852.SH,2016-01-04,2016-01-04T10:01:00Z,10385.2,10391.22,10385.2,10390.48
000852.SH,2016-01-04,2016-01-04T10:02:00Z,10389.94,10389.94,10380.7,10380.7
000852.SH,2016-01-04,2016-01-04T10:03:00Z,10379.42,10379.42,10361.29,10361.29
000852.SH,2016-01-04,2016-01-04T10:04:00Z,10359.37,10359.37,10335.72,10335.72
000852.SH,2016-01-04,2016-01-04T10:05:00Z,10333.21,10333.21,10300.62,10300.62
000852.SH,2016-01-04,2016-01-04T10:06:00Z,10299.64,10299.64,10261.48,10261.48
000852.SH,2016-01-04,2016-01-04T10:07:00Z,10259.46,10259.46,10222.16,10222.16
000852.SH,2016-01-04,2016-01-04T10:08:00Z,10215.92,10215.92,10181.16,10181.16
000852.SH,2016-01-04,2016-01-04T10:09:00Z,10178.09,10178.09,10153.26,10153.26
000852.SH,2016-01-04,2016-01-04T10:10:00Z,10150.58,10150.58,10129.67,10129.67
000852.SH,2016-01-04,2016-01-04T10:11:00Z,10125.73,10125.73,10099.43,10099.43
000852.SH,2016-01-04,2016-01-04T10:12:00Z,10098.67,10098.67,10059.68,10059.68
000852.SH,2016-01-04,2016-01-04T10:13:00Z,10056.98,10056.98,10026.75,10026.75
000852.SH,2016-01-04,2016-01-04T10:14:00Z,10024.02,10024.02,10000.13,10000.13
000852.SH,2016-01-04,2016-01-04T10:15:00Z,9995.98,9995.98,9982.85,9982.85
