carrier,label,event_seq,state_found
512100,2025-12-01T09:29:59.999,,False
512100,2025-12-01T09:30:00,,False
512100,2025-12-01T09:30:02,50,True
512100,2025-12-01T11:29:59.999,2440,True
512100,2025-12-01T11:30:00,,False
512100,2025-12-01T12:59:59.999,,False
512100,2025-12-01T13:00:00,,False
512100,2025-12-01T13:00:02,2442,True
512100,2025-12-01T14:56:59.999,4761,True
512100,2025-12-01T14:57:00,,False
512100,2025-12-01T15:00:00,,False
512100,2025-12-01T15:00:02,,False
512100,2025-12-01T15:00:03,,False
588000,2025-12-01T09:29:59.999,,False
588000,2025-12-01T09:30:00,172,True
588000,2025-12-01T09:30:02,172,True
588000,2025-12-01T11:29:59.999,2571,True
588000,2025-12-01T11:30:00,,False
588000,2025-12-01T12:59:59.999,,False
588000,2025-12-01T13:00:00,2573,True
588000,2025-12-01T13:00:02,2573,True
588000,2025-12-01T14:56:59.999,4912,True
588000,2025-12-01T14:57:00,,False
588000,2025-12-01T15:00:00,,False
588000,2025-12-01T15:00:02,,False
588000,2025-12-01T15:00:03,,False
