carrier,phase,quote_events,quantity_equal_through,quantity_equal_before,quote_quantity_ahead,quote_quantity_behind,max_absolute_quantity_gap_raw,price_comparable_events,last_price_equal_events,max_absolute_conditional_amount_gap,last_quantity_difference_raw,last_conditional_amount_difference
512100,ALL,4823,4175,4161,648,0,2000000.0,4774,4511,5960000.080,0.0,0.285
512100,closing_auction,60,41,41,19,0,239700.0,60,52,715744.185,500.0,1493.785
512100,continuous_am,2391,2049,2042,342,0,825300.0,2391,2244,2462695.288,0.0,0.288
512100,continuous_pm,2320,2033,2026,287,0,2000000.0,2320,2212,5960000.080,0.0,-0.115
512100,midday_break,1,1,1,0,0,0.0,1,1,0.288,0.0,0.288
512100,opening_auction,48,48,48,0,0,0.0,0,0,0.0,0.0,0.0
512100,post_close,1,1,1,0,0,0.0,1,1,0.285,0.0,0.285
512100,pre_open,1,1,1,0,0,0.0,0,0,0.0,0.0,0.0
512100,pre_open_break,1,1,1,0,0,0.0,1,1,0.000,0.0,0.000
588000,ALL,4975,1407,1391,3568,0,9262890.0,4804,3491,12792051.159,0.0,0.046
588000,closing_auction,61,1,1,60,0,614500.0,61,40,862183.862,0.0,0.046
588000,continuous_am,2400,441,432,1959,0,9262890.0,2400,1709,12792051.159,0.0,-0.025
588000,continuous_pm,2340,791,784,1549,0,8657100.0,2340,1740,12137254.260,114700.0,161019.156
588000,midday_break,1,1,1,0,0,0.0,1,1,0.125,0.0,-0.125
588000,opening_auction,169,169,169,0,0,0.0,0,0,0.0,0.0,0.0
588000,post_close,1,1,1,0,0,0.0,1,0,0.046,0.0,0.046
588000,pre_open,1,1,1,0,0,0.0,0,0,0.0,0.0,0.0
588000,pre_open_break,2,2,2,0,0,0.0,1,1,0.5,0.0,0.5
