carrier,index_symbol,period,index_records,missing_records,invalid_ohlcv_records,zero_volume_records,positive_volume_records,session_or_clock_boundary_comparisons,invalid_index_endpoint_comparisons,declared_action_day_comparisons,etf_endpoint_unavailable_comparisons,eligible_comparisons,record_coverage,positive_volume_coverage,invalid_index_records,declared_action_records,off_grid_ohlc_records,zero_nonflat_records,positive_flat_bar_fraction,positive_close_repeat_fraction,gap_at_most_one_reference_tick_fraction,gap_abs_bp_p50,gap_abs_bp_p90,gap_abs_bp_p95,gap_abs_bp_p99,tick_bp_p50,tick_bp_p90,tick_bp_p95,tick_bp_p99,gap_reference_ticks_p50,gap_reference_ticks_p90,gap_reference_ticks_p95,gap_reference_ticks_p99,etf_minute_range_bp_p50,etf_minute_range_bp_p90,etf_minute_range_bp_p95,etf_minute_range_bp_p99
512100.SH,000852.SH,ALL,290880,240,0,3677,286963,2424,0,238,6864,281354,0.999174917491749,0.98653396589659,0,240,0,1388,0.126218362646055,0.331962580947845,0.714693944283714,3.1607229010485,9.449719981622,11.7362131301151,17.985022511037,4.27167876975651,10.4384133611691,11.001100110011,11.5473441108545,0.619439153614367,1.62323855770357,2.03854394945575,3.16282211632991,8.21692686934996,17.1057133082446,20.5846027171671,32.967032967033
512100.SH,000852.SH,2021,58320,0,0,3220,55100,486,0,0,5766,52068,1,0.944787379972565,0,0,0,1154,0.378584392014519,0.496773450103711,0.819793347161404,4.50942421574293,11.7066025612536,13.9305370653474,19.8587172243537,9.59692898272553,11.1607142857143,11.2866817155756,11.5340253748558,0.462622147601671,1.17686606735101,1.40302101900408,1.96716350466534,8.92060660124988,17.3611111111111,19.1021967526266,27.5735294117657
512100.SH,000852.SH,2022,58080,240,0,336,57504,484,0,0,884,56712,0.995867768595041,0.990082644628099,0,0,0,175,0.135451446855871,0.372619551417689,0.740901396529835,4.07928593503057,11.3650004948624,13.9579889240008,20.1454446063972,9.56937799043062,10.9649122807018,11.3765642775882,12.5296031066402,0.578948910630496,1.51323759691709,1.93231231473431,2.99949942162039,9.73709834469221,19.8412698412699,22.329735764794,34.2067461449947
512100.SH,000852.SH,2023,58080,0,0,72,58008,484,0,0,141,57455,1,0.998760330578512,0,0,0,40,0.0845573024410426,0.316438952223479,0.738804281611696,2.31467528661997,5.80639420415309,7.1184994809787,9.88918538614407,3.83435582822086,4.16319733555371,4.25531914893617,4.37062937062937,0.595462151550214,1.49263752557253,1.82781172657377,2.54051389742834,4.14765657403521,11.3250283125695,12.520868113523,19.6774859877046
512100.SH,000852.SH,2024,58080,0,0,47,58033,484,0,0,69,57527,1,0.999190771349862,0,0,0,17,0.0294487619113263,0.240165487510213,0.632902810854034,3.44143438004509,9.22536248168888,11.7897647903713,20.6737782693806,4.64252553389044,5.36193029490617,5.47945205479452,5.58659217877095,0.739520059190786,1.99336507646356,2.57715438915759,4.46952643181136,9.4741828517301,20.5338809034908,26.6666666666657,45.0838578565579
512100.SH,000852.SH,2025,58320,0,0,2,58318,486,0,238,4,57592,1,0.999965706447188,0,240,0,2,0.0164100277787304,0.250104181136269,0.651514099180442,2.6812479803342,6.87072192012558,8.41745273804419,12.1472628497177,3.82701875239189,4.23908435777872,4.30292598967298,4.45037828215398,0.718313562816842,1.84033375553926,2.26375845695622,3.26748315887428,7.78816199376861,14.9807163060178,17.3766475902986,27.1945782142931
512100.SH,000852.SH,2021-01,4800,0,0,534,4266,40,0,0,933,3827,1,0.88875,0,0,0,191,0.516643225503985,0.49020120198589,0.823360334465639,5.08025011270438,12.7758178084092,15.2981334981922,20.8432751175932,10.752688172043,10.9529025191676,11.0741971207087,11.2485939257593,0.470213744449209,1.19176687040016,1.42011597388564,1.93781447261822,0,10.989010989011,21.2765957446809,22.149676367458
512100.SH,000852.SH,2021-02,3600,0,0,287,3313,30,0,0,498,3072,1,0.920277777777778,0,0,0,94,0.40295804406882,0.473958333333333,0.795247395833333,5.73197929223706,13.9905767777436,16.9654422255542,23.4395574233376,11.0987791342952,11.5340253748558,11.5874855156431,11.6822429906542,0.514867629887271,1.26832318819799,1.52759942141577,2.12677503574043,10.8695652173913,11.7619409691021,22.075055187638,32.7110997070584
512100.SH,000852.SH,2021-03,5520,0,0,437,5083,46,0,0,779,4695,1,0.920833333333333,0,0,0,168,0.433405469211096,0.49542066027689,0.813631522896699,5.33490011613806,13.5786475595619,16.3660833351806,22.9808277256257,11.2233445566779,11.441647597254,11.5207373271889,11.6144018583043,0.474958249071109,1.21581992462079,1.45935109631673,2.04104579533041,10.9051254089422,21.7627856365615,22.6244343891403,33.7906395685427
512100.SH,000852.SH,2021-04,5040,0,0,459,4581,42,0,0,816,4182,1,0.908928571428571,0,0,0,138,0.545295786946082,0.60234337637494,0.86154949784792,3.36579405486168,11.673182443186,13.2143738980297,18.8977633631322,11.001100110011,11.2233445566779,11.2612612612613,11.3122171945701,0.306403984062376,1.05993394450422,1.19800362150106,1.70952544850115,0,11.1856823266219,11.3122171945701,22.4215246636772
