carrier,target_label,status,event_seq,state_start,state_end
512100.SH,2025-12-01 09:30:00,no_same_session_state,,,
512100.SH,2025-12-01 09:30:01,no_same_session_state,,,
512100.SH,2025-12-01 09:30:02,covered_source_label_only,50,2025-12-01 09:30:02,2025-12-01 09:30:05
512100.SH,2025-12-01 11:30:00,outside_continuous_window,,,
512100.SH,2025-12-01 13:00:00,no_same_session_state,,,
512100.SH,2025-12-01 13:00:01,no_same_session_state,,,
512100.SH,2025-12-01 13:00:02,covered_source_label_only,2442,2025-12-01 13:00:02,2025-12-01 13:00:05
512100.SH,2025-12-01 13:26:00,covered_source_label_only,2955,2025-12-01 13:25:59,2025-12-01 13:26:02
512100.SH,2025-12-01 14:57:00,outside_continuous_window,,,
512100.SH,2025-12-01 15:00:00,outside_continuous_window,,,
512100.SH,2025-12-01 15:00:03,outside_continuous_window,,,
588000.SH,2025-12-01 09:30:00,covered_source_label_only,172,2025-12-01 09:30:00,2025-12-01 09:30:03
588000.SH,2025-12-01 09:30:01,covered_source_label_only,172,2025-12-01 09:30:00,2025-12-01 09:30:03
588000.SH,2025-12-01 09:30:02,covered_source_label_only,172,2025-12-01 09:30:00,2025-12-01 09:30:03
588000.SH,2025-12-01 11:30:00,outside_continuous_window,,,
588000.SH,2025-12-01 13:00:00,covered_source_label_only,2573,2025-12-01 13:00:00,2025-12-01 13:00:03
588000.SH,2025-12-01 13:00:01,covered_source_label_only,2573,2025-12-01 13:00:00,2025-12-01 13:00:03
588000.SH,2025-12-01 13:00:02,covered_source_label_only,2573,2025-12-01 13:00:00,2025-12-01 13:00:03
588000.SH,2025-12-01 13:26:00,covered_source_label_only,3093,2025-12-01 13:26:00,2025-12-01 13:26:03
588000.SH,2025-12-01 14:57:00,outside_continuous_window,,,
588000.SH,2025-12-01 15:00:00,outside_continuous_window,,,
588000.SH,2025-12-01 15:00:03,outside_continuous_window,,,
