carrier,session_phase,rows,checkpoints,first_time,last_time,valid_bbo_rows,locked_rows,crossed_positive_price_rows,invalid_intervals,ten_level_order_violations
512100.SH,pre_open,1,1,2025-12-01 08:45:05,2025-12-01 08:45:05,0,0,0,0,0
512100.SH,opening_auction,48,1,2025-12-01 09:15:02,2025-12-01 09:24:59,47,47,0,0,0
512100.SH,pre_open_break,1,1,2025-12-01 09:25:02,2025-12-01 09:25:02,1,0,0,0,0
512100.SH,continuous_am,2391,1,2025-12-01 09:30:02,2025-12-01 11:29:59,2391,0,0,0,0
512100.SH,midday_break,1,1,2025-12-01 11:30:08,2025-12-01 11:30:08,1,0,0,0,0
512100.SH,continuous_pm,2320,1,2025-12-01 13:00:02,2025-12-01 14:56:59,2320,0,0,0,0
512100.SH,closing_auction,60,1,2025-12-01 14:57:02,2025-12-01 14:59:59,60,0,0,0,0
512100.SH,post_close,1,1,2025-12-01 15:00:02,2025-12-01 15:00:02,1,0,0,1,0
588000.SH,pre_open,1,1,2025-12-01 08:45:00,2025-12-01 08:45:00,0,0,0,0,0
588000.SH,opening_auction,169,1,2025-12-01 09:15:00,2025-12-01 09:24:57,169,169,0,0,0
588000.SH,pre_open_break,2,1,2025-12-01 09:25:00,2025-12-01 09:25:03,2,1,0,0,0
588000.SH,continuous_am,2400,1,2025-12-01 09:30:00,2025-12-01 11:29:57,2400,0,0,0,0
588000.SH,midday_break,1,1,2025-12-01 11:30:00,2025-12-01 11:30:00,1,0,0,0,0
588000.SH,continuous_pm,2340,1,2025-12-01 13:00:00,2025-12-01 14:56:57,2340,0,0,0,0
588000.SH,closing_auction,61,1,2025-12-01 14:57:00,2025-12-01 15:00:00,61,0,0,0,0
588000.SH,post_close,1,1,2025-12-01 15:00:03,2025-12-01 15:00:03,1,0,0,1,0
