pair_id,event_day,side,old_eligible,old_reason,new_eligible,new_reason
000852.SH:R1_A:350759:350757,2021-01-04,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:350810:407709,2021-01-05,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:350919:398439,2021-01-05,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:351523:351522,2021-01-08,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:351542:355126,2021-01-08,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:351659:361242,2021-01-08,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:351781:392810,2021-01-11,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:352316:352315,2021-01-13,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:352524:353711,2021-01-14,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:352618:360298,2021-01-14,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:353342:353340,2021-01-19,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:353993:353992,2021-01-22,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:354524:354521,2021-01-26,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:354630:368319,2021-01-26,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:354742:404439,2021-01-27,SHORT,False,event_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute
000852.SH:R1_A:355134:355133,2021-01-29,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:355182:360705,2021-01-29,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:355254:404444,2021-01-29,SHORT,False,event_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute
000852.SH:R1_A:355377:358482,2021-02-01,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:355854:355853,2021-02-03,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:356091:394736,2021-02-04,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:356135:360697,2021-02-04,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:356189:404439,2021-02-04,SHORT,False,event_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute
000852.SH:R1_A:356304:358479,2021-02-04,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:356573:356572,2021-02-08,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:356602:383978,2021-02-08,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:357288:357287,2021-02-18,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:357346:383740,2021-02-18,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:357522:390420,2021-02-19,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:357554:358270,2021-02-19,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:357870:357869,2021-02-22,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:357978:383894,2021-02-22,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
