carrier,horizon,original_pairs,old_eligible,new_eligible,membership_changed,reason_changed,new_action_crossing,crossing_previously_included,unit_bridge_crossing,halt_endpoint
512100.SH,1,1296,1271,1271,0,0,0,0,0,4
512100.SH,5,1296,1268,1268,0,0,0,0,0,4
512100.SH,15,1296,1268,1268,0,0,0,0,0,4
512100.SH,30,1296,1259,1259,0,0,0,0,0,4
512100.SH,60,1296,1261,1261,0,0,0,0,0,4
512100.SH,120,1296,1265,1265,0,1,1,0,0,5
512100.SH,240,1296,1261,1261,0,2,2,0,0,6
588000.SH,1,1802,1802,1802,0,0,0,0,0,0
588000.SH,5,1802,1802,1802,0,0,0,0,0,0
588000.SH,15,1802,1802,1802,0,0,0,0,0,0
588000.SH,30,1802,1801,1801,0,0,0,0,0,0
588000.SH,60,1802,1801,1801,0,0,0,0,0,0
588000.SH,120,1802,1802,1802,0,0,0,0,0,0
588000.SH,240,1802,1801,1801,0,0,0,0,0,0
