pair_id,index_symbol,event_day,control_day,side,horizon,event_entry_timestamp,event_entry_status,event_exit_timestamp,event_exit_status,event_action_crossing,control_entry_timestamp,control_entry_status,control_exit_timestamp,control_exit_status,control_action_crossing,old_eligible,old_reason,new_eligible,new_reason,membership_changed,reason_changed,new_action_crossing,unit_bridge_crossing,on_new_halt_endpoint,carrier
000852.SH:R1_A:350759:350757,000852.SH,2021-01-04,2021-01-04,LONG,1,2021-01-04T14:19:00+08:00,valid,2021-01-04T14:20:00+08:00,valid,False,2021-01-04T14:17:00+08:00,valid,2021-01-04T14:18:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:350759:350757,000852.SH,2021-01-04,2021-01-04,LONG,5,2021-01-04T14:19:00+08:00,valid,2021-01-04T14:24:00+08:00,valid,False,2021-01-04T14:17:00+08:00,valid,2021-01-04T14:22:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:350759:350757,000852.SH,2021-01-04,2021-01-04,LONG,15,2021-01-04T14:19:00+08:00,valid,2021-01-04T14:34:00+08:00,recorded_zero_volume,False,2021-01-04T14:17:00+08:00,valid,2021-01-04T14:32:00+08:00,valid,False,False,event_exit:recorded_zero_volume,False,event_exit:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:350759:350757,000852.SH,2021-01-04,2021-01-04,LONG,30,2021-01-04T14:19:00+08:00,valid,2021-01-04T14:49:00+08:00,valid,False,2021-01-04T14:17:00+08:00,valid,2021-01-04T14:47:00+08:00,recorded_zero_volume,False,False,control_exit:recorded_zero_volume,False,control_exit:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:350759:350757,000852.SH,2021-01-04,2021-01-04,LONG,60,2021-01-04T14:19:00+08:00,valid,2021-01-05T09:49:00+08:00,valid,False,2021-01-04T14:17:00+08:00,valid,2021-01-05T09:47:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:350759:350757,000852.SH,2021-01-04,2021-01-04,LONG,120,2021-01-04T14:19:00+08:00,valid,2021-01-05T10:49:00+08:00,valid,False,2021-01-04T14:17:00+08:00,valid,2021-01-05T10:47:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:350759:350757,000852.SH,2021-01-04,2021-01-04,LONG,240,2021-01-04T14:19:00+08:00,valid,2021-01-05T14:19:00+08:00,valid,False,2021-01-04T14:17:00+08:00,valid,2021-01-05T14:17:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:350810:407709,000852.SH,2021-01-05,2021-12-27,LONG,1,2021-01-05T09:40:00+08:00,valid,2021-01-05T09:41:00+08:00,valid,False,2021-12-27T09:59:00+08:00,valid,2021-12-27T10:00:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:350810:407709,000852.SH,2021-01-05,2021-12-27,LONG,5,2021-01-05T09:40:00+08:00,valid,2021-01-05T09:45:00+08:00,valid,False,2021-12-27T09:59:00+08:00,valid,2021-12-27T10:04:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:350810:407709,000852.SH,2021-01-05,2021-12-27,LONG,15,2021-01-05T09:40:00+08:00,valid,2021-01-05T09:55:00+08:00,valid,False,2021-12-27T09:59:00+08:00,valid,2021-12-27T10:14:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
