carrier,period,old_eligible,new_eligible,eligible_difference,old_action_exclusions,new_action_exclusions,old_missing_endpoint_exclusions,new_missing_endpoint_exclusions,max_preserved_gap_absolute_difference
512100.SH,ALL,281354,281354,0,238,476,6864,6626,0
512100.SH,2021,52068,52068,0,0,0,5766,5766,0
512100.SH,2022,56712,56712,0,0,238,884,646,0
512100.SH,2023,57455,57455,0,0,0,141,141,0
512100.SH,2024,57527,57527,0,0,0,69,69,0
512100.SH,2025,57592,57592,0,238,238,4,4,0
512100.SH,2021-01,3827,3827,0,0,0,933,933,0
512100.SH,2021-02,3072,3072,0,0,0,498,498,0
512100.SH,2021-03,4695,4695,0,0,0,779,779,0
512100.SH,2021-04,4182,4182,0,0,0,816,816,0
512100.SH,2021-05,3455,3455,0,0,0,829,829,0
512100.SH,2021-06,4375,4375,0,0,0,623,623,0
512100.SH,2021-07,4835,4835,0,0,0,401,401,0
512100.SH,2021-08,5100,5100,0,0,0,136,136,0
512100.SH,2021-09,4724,4724,0,0,0,36,36,0
512100.SH,2021-10,3566,3566,0,0,0,242,242,0
512100.SH,2021-11,5025,5025,0,0,0,211,211,0
512100.SH,2021-12,5212,5212,0,0,0,262,262,0
512100.SH,2022-01,4414,4414,0,0,0,108,108,0
512100.SH,2022-02,3731,3731,0,0,0,77,77,0
512100.SH,2022-03,5337,5337,0,0,0,137,137,0
512100.SH,2022-04,4416,4416,0,0,0,106,106,0
512100.SH,2022-05,4407,4407,0,0,0,115,115,0
512100.SH,2022-06,4942,4942,0,0,0,56,56,0
512100.SH,2022-07,4963,4963,0,0,0,35,35,0
512100.SH,2022-08,5474,5474,0,0,0,0,0,0
512100.SH,2022-09,4758,4758,0,0,238,240,2,0
512100.SH,2022-10,3808,3808,0,0,0,0,0,0
512100.SH,2022-11,5236,5236,0,0,0,0,0,0
512100.SH,2022-12,5226,5226,0,0,0,10,10,0
512100.SH,2023-01,3806,3806,0,0,0,2,2,0
512100.SH,2023-02,4760,4760,0,0,0,0,0,0
512100.SH,2023-03,5466,5466,0,0,0,8,8,0
512100.SH,2023-04,4516,4516,0,0,0,6,6,0
512100.SH,2023-05,4743,4743,0,0,0,17,17,0
512100.SH,2023-06,4746,4746,0,0,0,14,14,0
512100.SH,2023-07,4964,4964,0,0,0,34,34,0
512100.SH,2023-08,5468,5468,0,0,0,6,6,0
512100.SH,2023-09,4751,4751,0,0,0,9,9,0
512100.SH,2023-10,4040,4040,0,0,0,6,6,0
512100.SH,2023-11,5213,5213,0,0,0,23,23,0
512100.SH,2023-12,4982,4982,0,0,0,16,16,0
512100.SH,2024-01,5224,5224,0,0,0,12,12,0
