carrier,study,horizon,group,old_n,new_n,gate_pass_after_known_patch,membership_changed,etf_event_old_mean_bp,etf_event_new_mean_bp,etf_event_mean_change_bp,etf_control_old_mean_bp,etf_control_new_mean_bp,etf_control_mean_change_bp,etf_incremental_old_mean_bp,etf_incremental_new_mean_bp,etf_incremental_mean_change_bp
512100.SH,published_endpoint,1,ALL,1271,1271,True,False,0.344186473080739,0.344186473080739,0,1.20555682022182,1.20555682022182,0,-0.861370347141075,-0.861370347141075,0
512100.SH,published_endpoint,1,2021,168,168,True,False,0.333594736503738,0.333594736503738,0,2.14579134495693,2.14579134495693,0,-1.8121966084532,-1.8121966084532,0
512100.SH,published_endpoint,1,2022,302,302,True,False,0.521562942159632,0.521562942159632,0,1.83706690635318,1.83706690635318,0,-1.31550396419349,-1.31550396419349,0
512100.SH,published_endpoint,1,2023,178,178,True,False,0.348946522724899,0.348946522724899,0,1.08545566125909,1.08545566125909,0,-0.736509138534212,-0.736509138534212,0
512100.SH,published_endpoint,1,2024,374,374,True,False,-0.140494032734629,-0.140494032734629,0,1.21190302192487,1.21190302192487,0,-1.35239705465953,-1.35239705465953,0
512100.SH,published_endpoint,1,2025,249,249,True,False,0.860792651479923,0.860792651479923,0,-0.118422775395614,-0.118422775395614,0,0.979215426875578,0.979215426875578,0
512100.SH,published_endpoint,1,LONG,616,616,True,False,0.428195641358646,0.428195641358646,0,0.906786666135592,0.906786666135592,0,-0.478591024776927,-0.478591024776927,0
512100.SH,published_endpoint,1,SHORT,655,655,True,False,0.265179377417852,0.265179377417852,0,1.48653760635483,1.48653760635483,0,-1.22135822893698,-1.22135822893698,0
512100.SH,published_endpoint,5,ALL,1268,1268,True,False,1.92621474070059,1.92621474070059,0,0.941834652219102,0.941834652219102,0,0.984380088481509,0.984380088481509,0
512100.SH,published_endpoint,5,2021,170,170,True,False,4.97685067317895,4.97685067317895,0,5.88145815061856,5.88145815061856,0,-0.904607477439584,-0.904607477439584,0
512100.SH,published_endpoint,5,2022,298,298,True,False,3.76608012885736,3.76608012885736,0,1.72124289642127,1.72124289642127,0,2.04483723243609,2.04483723243609,0
512100.SH,published_endpoint,5,2023,178,178,True,False,1.27473919937211,1.27473919937211,0,2.35900625115853,2.35900625115853,0,-1.08426705178644,-1.08426705178644,0
512100.SH,published_endpoint,5,2024,373,373,True,False,0.867242503065297,0.867242503065297,0,-0.868164603997555,-0.868164603997555,0,1.73540710706289,1.73540710706289,0
512100.SH,published_endpoint,5,2025,249,249,True,False,-0.306430653667313,-0.306430653667313,0,-1.66509897646588,-1.66509897646588,0,1.35866832279862,1.35866832279862,0
512100.SH,published_endpoint,5,LONG,619,619,True,False,1.23403556041068,1.23403556041068,0,0.614373448425357,0.614373448425357,0,0.619662111985366,0.619662111985366,0
512100.SH,published_endpoint,5,SHORT,649,649,True,False,2.58639796504489,2.58639796504489,0,1.25415897448155,1.25415897448155,0,1.33223899056334,1.33223899056334,0
