carrier,legacy_label,decoded_shanghai,decoded_utc,history_only_difference,recorded_volume,recorded_amount,archive_to_csv_ohlcv_match,vendor_original_available,exchange_no_trade_proven
512100.SH,2021-01-04T10:47:00Z,2021-01-04T10:47:00+08:00,2021-01-04T02:47:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2021-01-04T10:53:00Z,2021-01-04T10:53:00+08:00,2021-01-04T02:53:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2021-01-04T10:59:00Z,2021-01-04T10:59:00+08:00,2021-01-04T02:59:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2022-01-04T10:41:00Z,2022-01-04T10:41:00+08:00,2022-01-04T02:41:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2022-01-04T11:07:00Z,2022-01-04T11:07:00+08:00,2022-01-04T03:07:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2022-01-04T13:33:00Z,2022-01-04T13:33:00+08:00,2022-01-04T05:33:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2023-03-15T14:49:00Z,2023-03-15T14:49:00+08:00,2023-03-15T06:49:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2023-03-22T10:29:00Z,2023-03-22T10:29:00+08:00,2023-03-22T02:29:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2023-03-29T13:15:00Z,2023-03-29T13:15:00+08:00,2023-03-29T05:15:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2024-01-10T14:15:00Z,2024-01-10T14:15:00+08:00,2024-01-10T06:15:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2024-01-10T14:17:00Z,2024-01-10T14:17:00+08:00,2024-01-10T06:17:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2024-01-12T13:39:00Z,2024-01-12T13:39:00+08:00,2024-01-12T05:39:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2025-12-01T13:26:00Z,2025-12-01T13:26:00+08:00,2025-12-01T05:26:00+00:00,dataset_version,0,0,True,False,False
512100.SH,2025-12-02T13:36:00Z,2025-12-02T13:36:00+08:00,2025-12-02T05:36:00+00:00,dataset_version,0,0,True,False,False
588000.SH,2021-08-16T14:20:00Z,2021-08-16T14:20:00+08:00,2021-08-16T06:20:00+00:00,dataset_version,0,0,True,False,False
588000.SH,2022-12-06T10:01:00Z,2022-12-06T10:01:00+08:00,2022-12-06T02:01:00+00:00,dataset_version,0,0,True,False,False
588000.SH,2022-12-06T10:02:00Z,2022-12-06T10:02:00+08:00,2022-12-06T02:02:00+00:00,dataset_version,0,0,True,False,False
588000.SH,2024-09-27T10:24:00Z,2024-09-27T10:24:00+08:00,2024-09-27T02:24:00+00:00,dataset_version,0,0,True,False,False
588000.SH,2024-09-27T10:25:00Z,2024-09-27T10:25:00+08:00,2024-09-27T02:25:00+00:00,dataset_version,0,0,True,False,False
588000.SH,2024-09-27T10:26:00Z,2024-09-27T10:26:00+08:00,2024-09-27T02:26:00+00:00,dataset_version,0,0,True,False,False
