symbol,cell,family,event_day,entry_day,entry_idx,signal_dir,side,horizon,signed_return,MFE,MAE,structural_outcome
000852.SH,R1_A,R1,2015-01-06,2015-01-06,246,1,LONG,1,0.0005413924414308102,0.0005413924414308102,0.0005413924414308102,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,246,1,LONG,5,0.001595945203113347,0.001595945203113347,0.0005413924414308102,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,246,1,LONG,15,0.0067507983877796995,0.0067723876569165675,0.0005413924414308102,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,246,1,LONG,30,0.0025890515834068317,0.0067723876569165675,0.0005413924414308102,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,246,1,LONG,60,0.003401140245552936,0.0067723876569165675,0.0005413924414308102,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,246,1,LONG,120,0.013489971784485855,0.013489971784485855,-0.0021074448103549637,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,246,1,LONG,240,0.023382839188177185,0.025056837902785123,-0.0021074448103549637,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,328,1,LONG,1,0.0005335091814939741,0.0005335091814939741,0.0005335091814939741,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,328,1,LONG,5,0.0016668019769663367,0.0016668019769663367,0.0005335091814939741,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,328,1,LONG,15,0.0038058092853792136,0.0038058092853792136,0.0005335091814939741,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,328,1,LONG,30,0.006519747295588907,0.006519747295588907,0.0005335091814939741,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,328,1,LONG,60,0.01720152895115734,0.01720152895115734,0.0005335091814939741,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,328,1,LONG,120,0.018245351262776488,0.019693447612546322,0.0005335091814939741,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,328,1,LONG,240,0.01860157633737658,0.022679110795939428,0.0005335091814939741,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,450,1,LONG,1,0.0002617830842599478,0.0002617830842599478,0.0002617830842599478,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,450,1,LONG,5,0.0012243643630296397,0.0012243643630296397,0.0002617830842599478,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,450,1,LONG,15,0.002601571023701954,0.003021074351273967,0.0002617830842599478,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,450,1,LONG,30,-0.00038047976221644575,0.003619435686725403,-0.00038047976221644575,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,450,1,LONG,60,-0.0018064658795829969,0.003619435686725403,-0.0021934495693586298,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,450,1,LONG,120,-0.000473160729935751,0.003619435686725403,-0.003516998827667095,recovery
000852.SH,R1_A,R1,2015-01-06,2015-01-06,450,1,LONG,240,0.0033771643851430166,0.003619435686725403,-0.005118590989133587,recovery
000852.SH,R1_A,R1,2015-01-07,2015-01-07,584,1,LONG,1,8.942609583550976e-05,8.942609583550976e-05,8.942609583550976e-05,recovery
000852.SH,R1_A,R1,2015-01-07,2015-01-07,584,1,LONG,5,0.0004048563247824877,0.0004048563247824877,8.942609583550976e-05,recovery
000852.SH,R1_A,R1,2015-01-07,2015-01-07,584,1,LONG,15,-0.00011869281810883425,0.0004048563247824877,-0.0004032303957672845,recovery
