symbol,cell,event_day,event_entry_idx,control_day,control_entry_idx,side,parent_direction,clock_bucket,calendar_year,severity,match_distance,event_parent_abs_drift,event_parent_efficiency,event_log1p_parent_age_bars,event_local_vol_30_over_240,control_parent_abs_drift,control_parent_efficiency,control_log1p_parent_age_bars,control_local_vol_30_over_240
000852.SH,R1_A,2021-01-04,350759,2021-01-04,350757,LONG,1,28,2021,0.2511050019050323,0.025940438144008798,0.5595309762651222,0.14726633655745516,5.583496308781699,0.5347523060808078,0.5595309762651222,0.14726633655745516,5.575949103146316,0.5426478274801358
000852.SH,R1_A,2021-01-05,350810,2021-12-27,407709,LONG,1,19,2021,0.32400536305141825,0.47310060585068187,0.5595309762651222,0.14726633655745516,5.75890177387728,1.59164852956304,0.5244266861279337,0.12808600499136003,5.493061443340548,1.6004028024417436
000852.SH,R1_A,2021-01-05,350919,2021-11-02,398439,LONG,1,22,2021,1.0605496701647834,2.03576809645805,0.6823481262182398,0.22133032594754706,3.58351893845611,1.0222001623718249,0.5418342373581998,0.12925792652065002,2.833213344056216,0.9998900841303763
000852.SH,R1_A,2021-01-08,351523,2021-01-08,351522,SHORT,-1,19,2021,0.6652662731583222,0.2551442747741241,0.3832812772465015,0.17665098080685437,3.58351893845611,0.956888184747987,0.3832812772465015,0.17665098080685437,3.5553480614894135,0.8771248780990606
000852.SH,R1_A,2021-01-08,351542,2021-01-29,355126,SHORT,-1,19,2021,0.735971851417531,1.8317348443554569,0.26736187477069223,0.20547298891247523,1.6094379124341003,1.9976450228517293,0.3212736158694084,0.11630461116046166,1.6094379124341003,2.1651054365993194
000852.SH,R1_A,2021-01-08,351659,2021-03-12,361242,LONG,1,26,2021,0.7839762829340337,1.4464344153749074,0.383635321829633,0.2156877605153473,3.5263605246161616,0.5808721099221608,0.41966618053484006,0.1472584856396878,3.091042453358316,0.7065444418131013
000852.SH,R1_A,2021-01-11,351781,2021-09-23,392810,LONG,1,19,2021,0.697784472683709,0.7345495744866585,0.383635321829633,0.2156877605153473,5.049856007249537,1.6857819923979003,0.31308093330049896,0.2016612589227797,5.4638318050256105,1.8278348164274578
000852.SH,R1_A,2021-01-13,352316,2021-01-13,352315,LONG,1,21,2021,0.44915694947812873,0.09558348844083157,0.4233285035287823,0.11818236971425218,3.6375861597263857,1.1155059003339785,0.4233285035287823,0.11818236971425218,3.6109179126442243,1.144673713018223
000852.SH,R1_A,2021-01-14,352524,2021-01-21,353711,LONG,1,20,2021,1.100976518155391,0.515907224386268,0.4233285035287823,0.11818236971425218,5.5053315359323625,1.5212730608637128,0.4655693628570535,0.11699537750385416,5.407171771460119,1.377724043339999
000852.SH,R1_A,2021-01-14,352618,2021-03-08,360298,SHORT,-1,26,2021,1.5951528657321739,0.13473872032789388,0.07098961687497686,0.013256034488556669,4.465908118654584,0.6454723123318229,0.07250289743917773,0.017636983877588597,4.343805421853684,0.6504467971665512
000852.SH,R1_A,2021-01-19,353342,2021-01-19,353340,LONG,1,26,2021,0.3339176923962536,0.012211597360743552,0.07889301388439247,0.021543909945612897,6.131226489483141,0.9408034029202469,0.07889301388439247,0.021543909945612897,6.126869184114185,0.9371471666548806
000852.SH,R1_A,2021-01-22,353993,2021-01-22,353992,LONG,1,21,2021,0.8776484751470381,0.24692112899143828,0.3419191596240975,0.07199778255145256,4.110873864173311,1.1975403707866408,0.3419191596240975,0.07199778255145256,4.0943445622221,1.27494652825658
000852.SH,R1_A,2021-01-26,354524,2021-01-26,354521,SHORT,-1,26,2021,0.41947378533617025,0.052840172061483184,0.010270580058190421,0.005711882818796961,5.123963979403259,0.8203771571068385,0.010270580058190421,0.005711882818796961,5.10594547390058,0.836266134739123
000852.SH,R1_A,2021-01-26,354630,2021-04-23,368319,SHORT,-1,29,2021,0.38107956436751,0.3107585826470507,0.010270580058190421,0.005711882818796961,5.6131281063880705,0.4947639188299479,0.05442981291293429,0.013441933509009294,5.44673737166631,0.49414177277938526
000852.SH,R1_A,2021-01-27,354742,2021-12-07,404439,SHORT,-1,22,2021,0.9674001353044709,0.7880141282056511,0.5645701291301011,0.13753043092267353,3.784189633918261,0.8993813528907926,0.5953525998154503,0.167043257141644,3.1780538303479458,0.9221374646719007
