symbol,cell,event_day,control_day,event_entry_idx,control_entry_idx,side,parent_direction,horizon,event_signed_return,control_signed_return,incremental_return,match_distance
000852.SH,R1_A,2021-01-04,2021-01-04,350759,350757,LONG,1,1,0.0002500312539068794,0.0001132742737943726,0.0001367569801125068,0.025940438144008798
000852.SH,R1_A,2021-01-04,2021-01-04,350759,350757,LONG,1,5,0.0009015832861460904,0.001054774731304553,-0.00015319144515846261,0.025940438144008798
000852.SH,R1_A,2021-01-04,2021-01-04,350759,350757,LONG,1,15,0.001035423545590275,0.0017314781851403005,-0.0006960546395500256,0.025940438144008798
000852.SH,R1_A,2021-01-04,2021-01-04,350759,350757,LONG,1,30,-5.883088327163222e-06,0.0003177564044096748,-0.000323639492736838,0.025940438144008798
000852.SH,R1_A,2021-01-04,2021-01-04,350759,350757,LONG,1,60,-0.0015354860534037007,-0.0006502237534681266,-0.0008852622999355741,0.025940438144008798
000852.SH,R1_A,2021-01-04,2021-01-04,350759,350757,LONG,1,120,-0.000183846510225516,-0.0003177564044097858,0.0001339098941842698,0.025940438144008798
000852.SH,R1_A,2021-01-04,2021-01-04,350759,350757,LONG,1,240,-0.0011016082892714163,-0.0012210084058338344,0.00011940011656241811,0.025940438144008798
000852.SH,R1_A,2021-01-05,2021-12-27,350810,407709,LONG,1,1,-1.9100035702379614e-05,-5.895599191529932e-05,3.985595621291971e-05,0.47310060585068187
000852.SH,R1_A,2021-01-05,2021-12-27,350810,407709,LONG,1,5,-0.00032029290639368213,-0.0001614881517680855,-0.00015880475462559662,0.47310060585068187
000852.SH,R1_A,2021-01-05,2021-12-27,350810,407709,LONG,1,15,-0.000690539752316699,0.0007702728508938161,-0.001460812603210515,0.47310060585068187
000852.SH,R1_A,2021-01-05,2021-12-27,350810,407709,LONG,1,30,0.002171527136008322,0.0020288551130864807,0.00014267202292184145,0.47310060585068187
000852.SH,R1_A,2021-01-05,2021-12-27,350810,407709,LONG,1,60,-0.0033439754814311717,0.001901971565268834,-0.005245947046700006,0.47310060585068187
000852.SH,R1_A,2021-01-05,2021-12-27,350810,407709,LONG,1,120,-0.00387877648109769,-0.008037239680458552,0.004158463199360862,0.47310060585068187
000852.SH,R1_A,2021-01-05,2021-12-27,350810,407709,LONG,1,240,-0.006707050998564612,0.00021531753569070666,-0.006922368534255319,0.47310060585068187
000852.SH,R1_A,2021-01-05,2021-11-02,350919,398439,LONG,1,1,0.00034054700733210375,0.0005710699970573607,-0.00023052298972525698,2.03576809645805
000852.SH,R1_A,2021-01-05,2021-11-02,350919,398439,LONG,1,5,0.0016790448100636457,-0.0023514646937653483,0.004030509503828994,2.03576809645805
000852.SH,R1_A,2021-01-05,2021-11-02,350919,398439,LONG,1,15,0.00427164398327462,-0.007054394081296156,0.011326038064570776,2.03576809645805
000852.SH,R1_A,2021-01-05,2021-11-02,350919,398439,LONG,1,30,0.00424055056086603,-0.016609402902648007,0.020849953463514037,2.03576809645805
000852.SH,R1_A,2021-01-05,2021-11-02,350919,398439,LONG,1,60,0.006470393139310415,-0.01683514351324944,0.023305536652559855,2.03576809645805
000852.SH,R1_A,2021-01-05,2021-11-02,350919,398439,LONG,1,120,0.007826658611989501,-0.010166389641730778,0.01799304825372028,2.03576809645805
000852.SH,R1_A,2021-01-05,2021-11-02,350919,398439,LONG,1,240,-0.007662307664972778,-0.013478595624663248,0.005816287959690469,2.03576809645805
000852.SH,R1_A,2021-01-08,2021-01-08,351523,351522,SHORT,-1,1,0.00015977698176716792,0.002985735829133418,-0.00282595884736625,0.2551442747741241
000852.SH,R1_A,2021-01-08,2021-01-08,351523,351522,SHORT,-1,5,0.005823490564027867,0.007148773997396551,-0.0013252834333686847,0.2551442747741241
000852.SH,R1_A,2021-01-08,2021-01-08,351523,351522,SHORT,-1,15,-0.0013116929360312835,0.0033392299593102415,-0.004650922895341525,0.2551442747741241
000852.SH,R1_A,2021-01-08,2021-01-08,351523,351522,SHORT,-1,30,7.456259149130062e-05,0.002642861694283738,-0.0025682991027924373,0.2551442747741241
000852.SH,R1_A,2021-01-08,2021-01-08,351523,351522,SHORT,-1,60,-0.008929250752473639,-0.005607357532762647,-0.003321893219710992,0.2551442747741241
000852.SH,R1_A,2021-01-08,2021-01-08,351523,351522,SHORT,-1,120,0.00011716978662923427,0.0025988645707852864,-0.002481694784156052,0.2551442747741241
000852.SH,R1_A,2021-01-08,2021-01-08,351523,351522,SHORT,-1,240,0.004449408520830311,0.006409925751061252,-0.0019605172302309404,0.2551442747741241
000852.SH,R1_A,2021-01-08,2021-01-29,351542,355126,SHORT,-1,1,0.0008927113551358001,-0.0008158757635261527,0.0017085871186619528,1.8317348443554569
000852.SH,R1_A,2021-01-08,2021-01-29,351542,355126,SHORT,-1,5,0.0016435044948397426,0.001450273457979323,0.00019323103686041954,1.8317348443554569
000852.SH,R1_A,2021-01-08,2021-01-29,351542,355126,SHORT,-1,15,-0.0026018339495839093,0.006896166624787092,-0.009498000574371002,1.8317348443554569
