carrier,index_symbol,month,expected_minutes,present_minutes,missing_minutes,recorded_zero_volume_minutes,positive_volume_minutes,invalid_present_minutes,record_coverage,positive_volume_coverage
512100.SH,000852.SH,2021-01,4800,4800,0,534,4266,0,1.0,0.88875
512100.SH,000852.SH,2021-02,3600,3600,0,287,3313,0,1.0,0.9202777777777778
512100.SH,000852.SH,2021-03,5520,5520,0,437,5083,0,1.0,0.9208333333333333
512100.SH,000852.SH,2021-04,5040,5040,0,459,4581,0,1.0,0.9089285714285714
512100.SH,000852.SH,2021-05,4320,4320,0,475,3845,0,1.0,0.8900462962962963
512100.SH,000852.SH,2021-06,5040,5040,0,338,4702,0,1.0,0.932936507936508
512100.SH,000852.SH,2021-07,5280,5280,0,215,5065,0,1.0,0.959280303030303
512100.SH,000852.SH,2021-08,5280,5280,0,75,5205,0,1.0,0.9857954545454546
512100.SH,000852.SH,2021-09,4800,4800,0,18,4782,0,1.0,0.99625
512100.SH,000852.SH,2021-10,3840,3840,0,127,3713,0,1.0,0.9669270833333333
512100.SH,000852.SH,2021-11,5280,5280,0,114,5166,0,1.0,0.9784090909090909
512100.SH,000852.SH,2021-12,5520,5520,0,141,5379,0,1.0,0.9744565217391304
512100.SH,000852.SH,2022-01,4560,4560,0,57,4503,0,1.0,0.9875
512100.SH,000852.SH,2022-02,3840,3840,0,39,3801,0,1.0,0.98984375
512100.SH,000852.SH,2022-03,5520,5520,0,72,5448,0,1.0,0.9869565217391304
512100.SH,000852.SH,2022-04,4560,4560,0,55,4505,0,1.0,0.9879385964912281
512100.SH,000852.SH,2022-05,4560,4560,0,60,4500,0,1.0,0.9868421052631579
512100.SH,000852.SH,2022-06,5040,5040,0,28,5012,0,1.0,0.9944444444444445
512100.SH,000852.SH,2022-07,5040,5040,0,18,5022,0,1.0,0.9964285714285714
512100.SH,000852.SH,2022-08,5520,5520,0,0,5520,0,1.0,1.0
512100.SH,000852.SH,2022-09,5040,4800,240,1,4799,0,0.9523809523809523,0.9521825396825396
512100.SH,000852.SH,2022-10,3840,3840,0,0,3840,0,1.0,1.0
512100.SH,000852.SH,2022-11,5280,5280,0,0,5280,0,1.0,1.0
512100.SH,000852.SH,2022-12,5280,5280,0,6,5274,0,1.0,0.9988636363636364
512100.SH,000852.SH,2023-01,3840,3840,0,1,3839,0,1.0,0.9997395833333333
512100.SH,000852.SH,2023-02,4800,4800,0,0,4800,0,1.0,1.0
512100.SH,000852.SH,2023-03,5520,5520,0,4,5516,0,1.0,0.9992753623188406
512100.SH,000852.SH,2023-04,4560,4560,0,3,4557,0,1.0,0.9993421052631579
512100.SH,000852.SH,2023-05,4800,4800,0,9,4791,0,1.0,0.998125
512100.SH,000852.SH,2023-06,4800,4800,0,7,4793,0,1.0,0.9985416666666667
512100.SH,000852.SH,2023-07,5040,5040,0,17,5023,0,1.0,0.9966269841269841
512100.SH,000852.SH,2023-08,5520,5520,0,3,5517,0,1.0,0.9994565217391305
512100.SH,000852.SH,2023-09,4800,4800,0,5,4795,0,1.0,0.9989583333333333
512100.SH,000852.SH,2023-10,4080,4080,0,3,4077,0,1.0,0.9992647058823529
512100.SH,000852.SH,2023-11,5280,5280,0,12,5268,0,1.0,0.9977272727272727
512100.SH,000852.SH,2023-12,5040,5040,0,8,5032,0,1.0,0.9984126984126984
512100.SH,000852.SH,2024-01,5280,5280,0,6,5274,0,1.0,0.9988636363636364
512100.SH,000852.SH,2024-02,3600,3600,0,0,3600,0,1.0,1.0
512100.SH,000852.SH,2024-03,5040,5040,0,0,5040,0,1.0,1.0
512100.SH,000852.SH,2024-04,4800,4800,0,1,4799,0,1.0,0.9997916666666666
512100.SH,000852.SH,2024-05,4800,4800,0,4,4796,0,1.0,0.9991666666666666
512100.SH,000852.SH,2024-06,4560,4560,0,2,4558,0,1.0,0.999561403508772
512100.SH,000852.SH,2024-07,5520,5520,0,2,5518,0,1.0,0.9996376811594203
512100.SH,000852.SH,2024-08,5280,5280,0,1,5279,0,1.0,0.999810606060606
512100.SH,000852.SH,2024-09,4560,4560,0,31,4529,0,1.0,0.9932017543859649
512100.SH,000852.SH,2024-10,4320,4320,0,0,4320,0,1.0,1.0
512100.SH,000852.SH,2024-11,5040,5040,0,0,5040,0,1.0,1.0
512100.SH,000852.SH,2024-12,5280,5280,0,0,5280,0,1.0,1.0
512100.SH,000852.SH,2025-01,4320,4320,0,0,4320,0,1.0,1.0
512100.SH,000852.SH,2025-02,4320,4320,0,0,4320,0,1.0,1.0
512100.SH,000852.SH,2025-03,5040,5040,0,0,5040,0,1.0,1.0
512100.SH,000852.SH,2025-04,5040,5040,0,0,5040,0,1.0,1.0
512100.SH,000852.SH,2025-05,4560,4560,0,0,4560,0,1.0,1.0
512100.SH,000852.SH,2025-06,4800,4800,0,0,4800,0,1.0,1.0
512100.SH,000852.SH,2025-07,5520,5520,0,0,5520,0,1.0,1.0
512100.SH,000852.SH,2025-08,5040,5040,0,0,5040,0,1.0,1.0
512100.SH,000852.SH,2025-09,5280,5280,0,0,5280,0,1.0,1.0
512100.SH,000852.SH,2025-10,4080,4080,0,0,4080,0,1.0,1.0
512100.SH,000852.SH,2025-11,4800,4800,0,0,4800,0,1.0,1.0
512100.SH,000852.SH,2025-12,5520,5520,0,2,5518,0,1.0,0.9996376811594203
588000.SH,000688.SH,2021-01,4800,4800,0,0,4800,0,1.0,1.0
588000.SH,000688.SH,2021-02,3600,3600,0,0,3600,0,1.0,1.0
588000.SH,000688.SH,2021-03,5520,5520,0,0,5520,0,1.0,1.0
588000.SH,000688.SH,2021-04,5040,5040,0,0,5040,0,1.0,1.0
588000.SH,000688.SH,2021-05,4320,4320,0,0,4320,0,1.0,1.0
588000.SH,000688.SH,2021-06,5040,5040,0,0,5040,0,1.0,1.0
588000.SH,000688.SH,2021-07,5280,5280,0,0,5280,0,1.0,1.0
588000.SH,000688.SH,2021-08,5280,5280,0,1,5279,0,1.0,0.999810606060606
588000.SH,000688.SH,2021-09,4800,4800,0,0,4800,0,1.0,1.0
588000.SH,000688.SH,2021-10,3840,3840,0,0,3840,0,1.0,1.0
588000.SH,000688.SH,2021-11,5280,5280,0,0,5280,0,1.0,1.0
588000.SH,000688.SH,2021-12,5520,5520,0,0,5520,0,1.0,1.0
588000.SH,000688.SH,2022-01,4560,4560,0,0,4560,0,1.0,1.0
588000.SH,000688.SH,2022-02,3840,3840,0,0,3840,0,1.0,1.0
588000.SH,000688.SH,2022-03,5520,5520,0,0,5520,0,1.0,1.0
588000.SH,000688.SH,2022-04,4560,4560,0,0,4560,0,1.0,1.0
588000.SH,000688.SH,2022-05,4560,4560,0,0,4560,0,1.0,1.0
588000.SH,000688.SH,2022-06,5040,5040,0,0,5040,0,1.0,1.0
588000.SH,000688.SH,2022-07,5040,5040,0,0,5040,0,1.0,1.0
588000.SH,000688.SH,2022-08,5520,5520,0,0,5520,0,1.0,1.0
588000.SH,000688.SH,2022-09,5040,5040,0,0,5040,0,1.0,1.0
588000.SH,000688.SH,2022-10,3840,3840,0,0,3840,0,1.0,1.0
