pair_id,event_day,side,eligible,reason
000688.SH:R1_A:26407:81120,2021-01-04,LONG,True,complete_common_path
000688.SH:R1_A:26472:81183,2021-01-04,LONG,True,complete_common_path
000688.SH:R1_A:26601:81088,2021-01-04,LONG,True,complete_common_path
000688.SH:R1_A:26738:45209,2021-01-05,LONG,True,complete_common_path
000688.SH:R1_A:26893:55462,2021-01-06,LONG,True,complete_common_path
000688.SH:R1_A:27126:37452,2021-01-07,SHORT,True,complete_common_path
000688.SH:R1_A:27256:51508,2021-01-07,SHORT,True,complete_common_path
000688.SH:R1_A:27341:37426,2021-01-07,SHORT,True,complete_common_path
000688.SH:R1_A:27381:45386,2021-01-08,SHORT,True,complete_common_path
000688.SH:R1_A:27406:51393,2021-01-08,SHORT,True,complete_common_path
000688.SH:R1_A:27485:48841,2021-01-08,LONG,True,complete_common_path
000688.SH:R1_A:27620:57863,2021-01-11,LONG,True,complete_common_path
000688.SH:R1_A:27636:57871,2021-01-11,LONG,True,complete_common_path
000688.SH:R1_A:27684:56488,2021-01-11,LONG,True,complete_common_path
000688.SH:R1_A:27772:42170,2021-01-11,LONG,True,complete_common_path
000688.SH:R1_A:27841:55442,2021-01-12,SHORT,True,complete_common_path
000688.SH:R1_A:28070:29755,2021-01-12,LONG,True,complete_common_path
000688.SH:R1_A:28126:30058,2021-01-13,LONG,True,complete_common_path
000688.SH:R1_A:28362:29550,2021-01-14,LONG,True,complete_common_path
000688.SH:R1_A:28497:29199,2021-01-14,LONG,True,complete_common_path
000688.SH:R1_A:28912:28910,2021-01-18,LONG,True,complete_common_path
000688.SH:R1_A:28958:32790,2021-01-18,LONG,True,complete_common_path
000688.SH:R1_A:30087:30085,2021-01-25,LONG,True,complete_common_path
000688.SH:R1_A:30181:35711,2021-01-25,LONG,True,complete_common_path
000688.SH:R1_A:30353:41143,2021-01-26,SHORT,True,complete_common_path
000688.SH:R1_A:30513:41799,2021-01-27,SHORT,True,complete_common_path
000688.SH:R1_A:30551:75194,2021-01-27,SHORT,True,complete_common_path
000688.SH:R1_A:30751:78755,2021-01-28,SHORT,True,complete_common_path
000688.SH:R1_A:30963:37203,2021-01-29,SHORT,True,complete_common_path
000688.SH:R1_A:31017:56698,2021-01-29,SHORT,True,complete_common_path
000688.SH:R1_A:31217:28818,2021-02-01,SHORT,True,complete_common_path
000688.SH:R1_A:31719:31718,2021-02-03,LONG,True,complete_common_path
000688.SH:R1_A:31736:32681,2021-02-03,LONG,True,complete_common_path
000688.SH:R1_A:31773:35617,2021-02-03,LONG,True,complete_common_path
000688.SH:R1_A:31831:45297,2021-02-03,SHORT,True,complete_common_path
000688.SH:R1_A:31938:33868,2021-02-04,SHORT,True,complete_common_path
000688.SH:R1_A:31972:55005,2021-02-04,SHORT,True,complete_common_path
000688.SH:R1_A:32030:75211,2021-02-04,SHORT,True,complete_common_path
000688.SH:R1_A:32161:29520,2021-02-05,LONG,True,complete_common_path
000688.SH:R1_A:32199:57883,2021-02-05,LONG,True,complete_common_path
000688.SH:R1_A:32225:57900,2021-02-05,LONG,True,complete_common_path
000688.SH:R1_A:32298:29640,2021-02-05,LONG,True,complete_common_path
000688.SH:R1_A:32414:41776,2021-02-08,SHORT,True,complete_common_path
000688.SH:R1_A:32828:32827,2021-02-09,LONG,True,complete_common_path
000688.SH:R1_A:32898:58580,2021-02-10,LONG,True,complete_common_path
000688.SH:R1_A:33081:73876,2021-02-10,LONG,True,complete_common_path
000688.SH:R1_A:33130:41307,2021-02-18,LONG,True,complete_common_path
