layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,spec,budget_trading_days,effect_bp_ASSUMED,family_size,expected_eligible_pairs_CONDITIONAL,positive_detection_probability_CONDITIONAL,detectable_effect_80_bp_CONDITIONAL,detectable_effect_90_bp_CONDITIONAL
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,2,1,64.15841584158416,0.12263471252836239,7.021098164963504,8.12361470686569
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,2,1,128.31683168316832,0.20288676348058626,4.964666123822118,5.744263046971495
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,2,1,259.84158415841586,0.36169784532193733,3.4888117274572057,4.036656601681935
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,2,1,519.6831683168317,0.6222210368941854,2.4669624307681435,2.854347256370741
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,2,1,1299.2079207920792,0.9485812262490835,1.5602440366585564,1.8052477126368198
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,4,1,64.15841584158416,0.3579779866923716,7.021098164963504,8.12361470686569
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,4,1,128.31683168316832,0.6168642554369531,4.964666123822118,5.744263046971495
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,4,1,259.84158415841586,0.894736125271635,3.4888117274572057,4.036656601681935
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,4,1,519.6831683168317,0.9950970886307068,2.4669624307681435,2.854347256370741
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,4,1,1299.2079207920792,0.9999999117211901,1.5602440366585564,1.8052477126368198
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,6,1,64.15841584158416,0.667920686195993,7.021098164963504,8.12361470686569
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,6,1,128.31683168316832,0.923046367664971,4.964666123822118,5.744263046971495
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,6,1,259.84158415841586,0.9978694415286748,3.4888117274572057,4.036656601681935
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,6,1,519.6831683168317,0.9999993946724995,2.4669624307681435,2.854347256370741
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,6,1,1299.2079207920792,1.0,1.5602440366585564,1.8052477126368198
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,2,7,64.15841584158416,0.029241364156084387,8.85092775440222,9.953444296304404
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,2,7,128.31683168316832,0.059202934473039405,6.25855103493003,7.038147958079408
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,2,7,259.84158415841586,0.13916693870199565,4.398061360618428,4.945906234843157
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,2,7,519.6831683168317,0.33767154792724274,3.109899012167824,3.4972838377704214
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,2,7,1299.2079207920792,0.8162336480085486,1.9668728343116044,2.211876510289868
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,4,7,64.15841584158416,0.13697434083892823,8.85092775440222,9.953444296304404
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,4,7,128.31683168316832,0.33254730981837866,6.25855103493003,7.038147958079408
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,4,7,259.84158415841586,0.6991544055644064,4.398061360618428,4.945906234843157
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,4,7,519.6831683168317,0.9680198840185094,3.109899012167824,3.4972838377704214
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,4,7,1299.2079207920792,0.9999964774062761,1.9668728343116044,2.211876510289868
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,6,7,64.15841584158416,0.38362772883485446,8.85092775440222,9.953444296304404
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,6,7,128.31683168316832,0.7566977845912155,6.25855103493003,7.038147958079408
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,6,7,259.84158415841586,0.9833318656096363,4.398061360618428,4.945906234843157
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,6,7,519.6831683168317,0.9999813615339772,3.109899012167824,3.4972838377704214
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,6,7,1299.2079207920792,0.9999999999999997,1.9668728343116044,2.211876510289868
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,2,14,64.15841584158416,0.017186070258713125,9.411337422481012,10.513853964383197
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,2,14,128.31683168316832,0.03712120297314082,6.654820511471046,7.434417434620423
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,2,14,259.84158415841586,0.09548982638447867,4.676531163523377,5.224376037748106
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,2,14,519.6831683168317,0.2602927702181226,3.3068068981575953,3.6941917237601927
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,2,14,1299.2079207920792,0.7509517507757338,2.0914083161068913,2.336411992085155
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,4,14,64.15841584158416,0.09381357669652302,9.411337422481012,10.513853964383197
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,4,14,128.31683168316832,0.25574902069065775,6.654820511471046,7.434417434620423
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,4,14,259.84158415841586,0.6172832174642129,4.676531163523377,5.224376037748106
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,4,14,519.6831683168317,0.9483265710469492,3.3068068981575953,3.6941917237601927
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,4,14,1299.2079207920792,0.9999901693113028,2.0914083161068913,2.336411992085155
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,6,14,64.15841584158416,0.3016769285597305,9.411337422481012,10.513853964383197
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,6,14,128.31683168316832,0.681573306216385,6.654820511471046,7.434417434620423
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,6,14,259.84158415841586,0.9715704922685793,4.676531163523377,5.224376037748106
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,6,14,519.6831683168317,0.9999519281677631,3.3068068981575953,3.6941917237601927
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,6,14,1299.2079207920792,0.9999999999999981,2.0914083161068913,2.336411992085155
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,2,28,64.15841584158416,0.010017626050789744,9.937642660102787,11.040159202004972
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,2,28,128.31683168316832,0.0230146289739622,7.026974513967401,7.806571437116778
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,2,28,259.84158415841586,0.06454567205320999,4.938054338687038,5.485899212911766
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,2,28,519.6831683168317,0.19698180533261855,3.4917317087532567,3.879116534355854
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,2,28,1299.2079207920792,0.6799215733657864,2.2083650355783973,2.4533687115566605
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,4,28,64.15841584158416,0.06330103942311452,9.937642660102787,11.040159202004972
