layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,year,year_pairs,year_trading_days,pairs_per_day
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,2021,186,243,0.7654320987654321
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,2022,309,242,1.2768595041322315
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,2023,178,242,0.7355371900826446
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,2024,374,242,1.5454545454545454
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,2025,249,243,1.0246913580246915
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,2021,168,243,0.691358024691358
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,2022,302,242,1.2479338842975207
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,2023,178,242,0.7355371900826446
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,2024,374,242,1.5454545454545454
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,2025,249,243,1.0246913580246915
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,1296,1212,2021,186,243,0.7654320987654321
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,1296,1212,2022,309,242,1.2768595041322315
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,1296,1212,2023,178,242,0.7355371900826446
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,1296,1212,2024,374,242,1.5454545454545454
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,1296,1212,2025,249,243,1.0246913580246915
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,1212,2021,170,243,0.6995884773662552
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,1212,2022,298,242,1.2314049586776858
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,1212,2023,178,242,0.7355371900826446
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,1212,2024,373,242,1.5413223140495869
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,1212,2025,249,243,1.0246913580246915
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,1212,2021,186,243,0.7654320987654321
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,1212,2022,309,242,1.2768595041322315
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,1212,2023,178,242,0.7355371900826446
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,1212,2024,374,242,1.5454545454545454
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,1212,2025,249,243,1.0246913580246915
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,1212,2021,165,243,0.6790123456790124
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,1212,2022,303,242,1.2520661157024793
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,1212,2023,178,242,0.7355371900826446
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,1212,2024,373,242,1.5413223140495869
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,1212,2025,249,243,1.0246913580246915
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,1212,2021,186,243,0.7654320987654321
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,1212,2022,309,242,1.2768595041322315
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,1212,2023,178,242,0.7355371900826446
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,1212,2024,374,242,1.5454545454545454
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,1212,2025,249,243,1.0246913580246915
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,1212,2021,159,243,0.654320987654321
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,1212,2022,301,242,1.243801652892562
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,1212,2023,178,242,0.7355371900826446
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,1212,2024,373,242,1.5413223140495869
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,1212,2025,248,243,1.0205761316872428
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,1296,1212,2021,186,243,0.7654320987654321
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,1296,1212,2022,309,242,1.2768595041322315
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,1296,1212,2023,178,242,0.7355371900826446
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,1296,1212,2024,374,242,1.5454545454545454
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,1296,1212,2025,249,243,1.0246913580246915
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,1261,1212,2021,163,243,0.6707818930041153
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,1261,1212,2022,300,242,1.2396694214876034
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,1261,1212,2023,177,242,0.731404958677686
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,1261,1212,2024,373,242,1.5413223140495869
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,1261,1212,2025,248,243,1.0205761316872428
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,1296,1212,2021,186,243,0.7654320987654321
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,1296,1212,2022,309,242,1.2768595041322315
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,1296,1212,2023,178,242,0.7355371900826446
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,1296,1212,2024,374,242,1.5454545454545454
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,1296,1212,2025,249,243,1.0246913580246915
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,1265,1212,2021,163,243,0.6707818930041153
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,1265,1212,2022,303,242,1.2520661157024793
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,1265,1212,2023,178,242,0.7355371900826446
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,1265,1212,2024,374,242,1.5454545454545454
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,1265,1212,2025,247,243,1.0164609053497942
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,240,1296,1212,2021,186,243,0.7654320987654321
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,240,1296,1212,2022,309,242,1.2768595041322315
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,240,1296,1212,2023,178,242,0.7355371900826446
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,240,1296,1212,2024,374,242,1.5454545454545454
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,240,1296,1212,2025,249,243,1.0246913580246915
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,240,1261,1212,2021,163,243,0.6707818930041153
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,240,1261,1212,2022,300,242,1.2396694214876034
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,240,1261,1212,2023,178,242,0.7355371900826446
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,240,1261,1212,2024,373,242,1.5413223140495869
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,240,1261,1212,2025,247,243,1.0164609053497942
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,1,1802,1212,2021,336,243,1.382716049382716
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,1,1802,1212,2022,409,242,1.6900826446280992
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,1,1802,1212,2023,235,242,0.9710743801652892
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,1,1802,1212,2024,436,242,1.8016528925619835
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,1,1802,1212,2025,386,243,1.5884773662551441
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,1,1802,1212,2021,336,243,1.382716049382716
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,1,1802,1212,2022,409,242,1.6900826446280992
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,1,1802,1212,2023,235,242,0.9710743801652892
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,1,1802,1212,2024,436,242,1.8016528925619835
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,1,1802,1212,2025,386,243,1.5884773662551441
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,5,1802,1212,2021,336,243,1.382716049382716
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,5,1802,1212,2022,409,242,1.6900826446280992
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,5,1802,1212,2023,235,242,0.9710743801652892
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,5,1802,1212,2024,436,242,1.8016528925619835
