layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,DGP_ASSUMED,repetitions,seed,lambda,lambda_unclipped,lambda_clipped,oracle_mean_SE_under_DGP_bp,matched_independent_block_SE_bp,historical_target_SE_bp,occupied_blocks,pointwise_nominal_alpha,pointwise_rejections,pointwise_rejection_rate,pointwise_MC95_lo,pointwise_MC95_hi,marginal_family14_nominal_alpha,marginal_family14_rejections,marginal_family14_rejection_rate,marginal_family14_MC95_lo,marginal_family14_MC95_hi,unquantified_replicates,unquantified_fraction,severe_size_warning,real_market_calibration_proved,joint_family_error_simulated
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,IID_GAUSSIAN,2000,20270919,0.0,0.027719978541310336,False,0.3862136588719716,0.3862136588719716,0.5576035410978931,61,0.05,68,0.034,0.026908260159560583,0.042878427906567144,0.0035714285714285718,3,0.0015,0.0005102635836384819,0.004401032555770693,0,0.0,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,SHARED_BLOCK_GAUSSIAN,2000,21270922,0.027719978541310336,0.027719978541310336,False,0.5576035410978931,0.5576035410978931,0.5576035410978931,61,0.05,110,0.055,0.04583478836864504,0.06587138371167006,0.0035714285714285718,9,0.0045,0.0023692806369618345,0.008530513218759823,0,0.0,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,SHARED_BLOCK_T5,2000,22270925,0.027719978541310336,0.027719978541310336,False,0.5576035410978931,0.5576035410978931,0.5576035410978931,61,0.05,113,0.0565,0.04720544161779262,0.06749497932067872,0.0035714285714285718,9,0.0045,0.0023692806369618345,0.008530513218759823,0,0.0,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,OFF_GRAPH_AR1_0.6,2000,23270928,0.027719978541310336,0.027719978541310336,False,0.8733965335438885,0.5576035410978931,0.5576035410978931,61,0.05,383,0.1915,0.1748530251159714,0.20932979305656163,0.0035714285714285718,111,0.0555,0.04629144858684901,0.06641280644618483,0,0.0,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,IID_GAUSSIAN,2000,20280926,0.0,0.00836801345664996,False,0.4789516031415532,0.47895160314155316,0.5513240795960871,61,0.05,78,0.039,0.03136143254939691,0.04840608504391829,0.0035714285714285718,5,0.0025,0.0010683087284139143,0.005839153316432755,0,0.0,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,SHARED_BLOCK_GAUSSIAN,2000,21280929,0.00836801345664996,0.00836801345664996,False,0.5513240795960871,0.5513240795960871,0.5513240795960871,61,0.05,100,0.05,0.04128123361873174,0.0604441089343959,0.0035714285714285718,10,0.005,0.0027181808584985597,0.009179695949941846,0,0.0,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,SHARED_BLOCK_T5,2000,22280932,0.00836801345664996,0.00836801345664996,False,0.5513240795960871,0.5513240795960871,0.5513240795960871,61,0.05,91,0.0455,0.03720527135020145,0.05553732462845745,0.0035714285714285718,5,0.0025,0.0010683087284139143,0.005839153316432755,0,0.0,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,OFF_GRAPH_AR1_0.6,2000,23280935,0.00836801345664996,0.00836801345664996,False,0.7158363317338865,0.5513240795960871,0.5513240795960871,61,0.05,231,0.1155,0.10222324031966848,0.13025096903961503,0.0035714285714285718,34,0.017,0.012190680521843938,0.023661187151846397,0,0.0,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,1296,1212,IID_GAUSSIAN,2000,20290933,0.0,0.01597600374608083,False,0.8934917033820835,0.8934917033820835,1.139094765288354,61,0.05,87,0.0435,0.03540128785854411,0.0533489763092398,0.0035714285714285718,1,0.0005,8.826773070546787e-05,0.0028268625032662133,0,0.0,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,1296,1212,SHARED_BLOCK_GAUSSIAN,2000,21290936,0.01597600374608083,0.01597600374608083,False,1.139094765288354,1.139094765288354,1.139094765288354,61,0.05,109,0.0545,0.045378356153563185,0.06532973297403316,0.0035714285714285718,13,0.0065,0.0038025964940741515,0.011089529172522494,0,0.0,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,1296,1212,SHARED_BLOCK_T5,2000,22290939,0.01597600374608083,0.01597600374608083,False,1.139094765288354,1.139094765288354,1.139094765288354,61,0.05,114,0.057,0.047662768878229574,0.06803573501296051,0.0035714285714285718,7,0.0035,0.0016964316970424177,0.007207196253241745,0,0.0,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,1296,1212,OFF_GRAPH_AR1_0.6,2000,23290942,0.01597600374608083,0.01597600374608083,False,1.6407832106617344,1.139094765288354,1.139094765288354,61,0.05,332,0.166,0.15033650067666077,0.18294408690721614,0.0035714285714285718,72,0.036,0.02868460672278366,0.04509441315421905,0,0.0,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,1212,IID_GAUSSIAN,2000,20300940,0.0,0.01675677123492901,False,0.9408401776793013,0.9408401776793013,1.207718617424619,61,0.05,97,0.0485,0.03992009344287708,0.05881100025209431,0.0035714285714285718,9,0.0045,0.0023692806369618345,0.008530513218759823,0,0.0,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,1212,SHARED_BLOCK_GAUSSIAN,2000,21300943,0.01675677123492901,0.01675677123492901,False,1.207718617424619,1.207718617424619,1.207718617424619,61,0.05,116,0.058,0.04857807145401382,0.06911659834261377,0.0035714285714285718,16,0.008,0.0049302968532159265,0.012956077671536958,0,0.0,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,1212,SHARED_BLOCK_T5,2000,22300946,0.01675677123492901,0.01675677123492901,False,1.207718617424619,1.207718617424619,1.207718617424619,61,0.05,116,0.058,0.04857807145401382,0.06911659834261377,0.0035714285714285718,12,0.006,0.003435594376936234,0.010458448336941664,0,0.0,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,1212,OFF_GRAPH_AR1_0.6,2000,23300949,0.01675677123492901,0.01675677123492901,False,1.7500151985939163,1.207718617424619,1.207718617424619,61,0.05,329,0.1645,0.148898411257462,0.18138792746825866,0.0035714285714285718,75,0.0375,0.030021256563230403,0.04675201217192855,0,0.0,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,1212,IID_GAUSSIAN,2000,20310947,0.0,0.02407163963655599,False,1.4794489624004001,1.4794489624004001,2.0619817232617645,61,0.05,76,0.038,0.030467599928741894,0.04730375175913581,0.0035714285714285718,1,0.0005,8.826773070546787e-05,0.0028268625032662133,0,0.0,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,1212,SHARED_BLOCK_GAUSSIAN,2000,21310950,0.02407163963655599,0.02407163963655599,False,2.0619817232617645,2.0619817232617645,2.0619817232617645,61,0.05,107,0.0535,0.04446618753651597,0.06424573568564287,0.0035714285714285718,7,0.0035,0.0016964316970424177,0.007207196253241745,0,0.0,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,1212,SHARED_BLOCK_T5,2000,22310953,0.02407163963655599,0.02407163963655599,False,2.0619817232617645,2.0619817232617645,2.0619817232617645,61,0.05,130,0.065,0.055007837621403224,0.07665999351328683,0.0035714285714285718,11,0.0055,0.003073897009543817,0.009822062751615332,0,0.0,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,1212,OFF_GRAPH_AR1_0.6,2000,23310956,0.02407163963655599,0.02407163963655599,False,3.164957940252497,2.0619817232617645,2.0619817232617645,61,0.05,392,0.196,0.17919210630660154,0.21397345844040022,0.0035714285714285718,119,0.0595,0.04995260683841223,0.07073631181637158,0,0.0,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,1212,IID_GAUSSIAN,2000,20320954,0.0,0.02407463981099592,False,1.5597315726354521,1.559731572635452,2.169145664524836,61,0.05,67,0.0335,0.026465276470638475,0.042323328642770504,0.0035714285714285718,7,0.0035,0.0016964316970424177,0.007207196253241745,0,0.0,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,1212,SHARED_BLOCK_GAUSSIAN,2000,21320957,0.02407463981099592,0.02407463981099592,False,2.169145664524836,2.169145664524836,2.169145664524836,61,0.05,122,0.061,0.05132898110812262,0.07235418640481744,0.0035714285714285718,10,0.005,0.0027181808584985597,0.009179695949941846,0,0.0,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,1212,SHARED_BLOCK_T5,2000,22320960,0.02407463981099592,0.02407463981099592,False,2.169145664524836,2.169145664524836,2.169145664524836,61,0.05,137,0.0685,0.05823636538977861,0.08041804641394268,0.0035714285714285718,7,0.0035,0.0016964316970424177,0.007207196253241745,0,0.0,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,1212,OFF_GRAPH_AR1_0.6,2000,23320963,0.02407463981099592,0.02407463981099592,False,3.326113735771951,2.169145664524836,2.169145664524836,61,0.05,415,0.2075,0.19029670331110604,0.22582476934842682,0.0035714285714285718,123,0.0615,0.05178817023412858,0.07289308023153022,0,0.0,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,1212,IID_GAUSSIAN,2000,20330961,0.0,0.040831535319662625,False,2.096520491529557,2.0965204915295574,3.381424423429667,61,0.05,77,0.0385,0.03091432761660475,0.047855107023991705,0.0035714285714285718,4,0.002,0.0007780273070510575,0.005131351785076866,0,0.0,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,1212,SHARED_BLOCK_GAUSSIAN,2000,21330964,0.040831535319662625,0.040831535319662625,False,3.381424423429667,3.381424423429667,3.381424423429667,61,0.05,119,0.0595,0.04995260683841223,0.07073631181637158,0.0035714285714285718,6,0.003,0.0013756299236301083,0.006529915073935308,0,0.0,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,1212,SHARED_BLOCK_T5,2000,22330967,0.040831535319662625,0.040831535319662625,False,3.381424423429667,3.381424423429667,3.381424423429667,61,0.05,122,0.061,0.05132898110812262,0.07235418640481744,0.0035714285714285718,3,0.0015,0.0005102635836384819,0.004401032555770693,0,0.0,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,1212,OFF_GRAPH_AR1_0.6,2000,23330970,0.040831535319662625,0.040831535319662625,False,5.577631982325023,3.381424423429667,3.381424423429667,61,0.05,444,0.222,0.2043288527249172,0.24073702556345938,0.0035714285714285718,127,0.0635,0.053626856130583093,0.0750467261459507,0,0.0,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,1212,IID_GAUSSIAN,2000,20340968,0.0,0.046324448367717576,False,2.1982850496093547,2.1982850496093547,3.676022325220349,61,0.05,87,0.0435,0.03540128785854411,0.0533489763092398,0.0035714285714285718,2,0.001,0.0002742789176520342,0.003638934269038394,0,0.0,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,1212,SHARED_BLOCK_GAUSSIAN,2000,21340971,0.046324448367717576,0.046324448367717576,False,3.6760223252203494,3.6760223252203494,3.676022325220349,61,0.05,131,0.0655,0.05546852874487852,0.07719738534253028,0.0035714285714285718,18,0.009,0.005700499728577407,0.014182040701612969,0,0.0,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,1212,SHARED_BLOCK_T5,2000,22340974,0.046324448367717576,0.046324448367717576,False,3.6760223252203494,3.6760223252203494,3.676022325220349,61,0.05,123,0.0615,0.05178817023412858,0.07289308023153022,0.0035714285714285718,14,0.007,0.0041743460559210965,0.011715862563394297,0,0.0,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,1212,OFF_GRAPH_AR1_0.6,2000,23340977,0.046324448367717576,0.046324448367717576,False,6.14986173352985,3.6760223252203494,3.676022325220349,61,0.05,444,0.222,0.2043288527249172,0.24073702556345938,0.0035714285714285718,136,0.068,0.05777462902670909,0.07988169982429345,0,0.0,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,1296,1212,IID_GAUSSIAN,2000,20350975,0.0,0.04281835455862762,False,3.253455400812442,3.2534554008124417,5.336650363976562,61,0.05,73,0.0365,0.02912975228047479,0.045647350549246665,0.0035714285714285718,4,0.002,0.0007780273070510575,0.005131351785076866,0,0.0,False,False,False
