layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,spec,effect_bp_ASSUMED,target_positive_detection,family_size,required_trading_days_CONDITIONAL,expected_eligible_pairs_CONDITIONAL,equivalent_years_NOT_FORECAST,independent_equivalent_n_required_NOT_actual_count,critical_z,not_confirmatory_sample_size
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,2,0.8,1,740,792,3.0528052805280526,379.321922348598,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,2,0.9,1,990,1059,4.084158415841584,507.8044319054892,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,4,0.8,1,185,198,0.7632013201320131,94.8304805871495,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,4,0.9,1,248,266,1.023102310231023,126.9511079763723,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,6,0.8,1,83,89,0.3424092409240924,42.14688026095533,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,6,0.9,1,110,118,0.4537953795379538,56.42271465616547,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,2,0.8,7,1176,1258,4.851485148514851,602.803054441482,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,2,0.9,7,1487,1591,6.134488448844884,762.3328475886558,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,4,0.8,7,294,315,1.2128712871287128,150.7007636103705,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,4,0.9,7,372,398,1.5346534653465347,190.58321189716395,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,6,0.8,7,131,141,0.5404290429042904,66.97811716016467,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,6,0.9,7,166,178,0.6848184818481848,84.70364973207288,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,2,0.8,14,1329,1422,5.482673267326732,681.5544241739476,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,2,0.9,14,1659,1774,6.844059405940594,850.5928611817311,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,4,0.8,14,333,357,1.3737623762376237,170.3886060434869,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,4,0.9,14,415,444,1.712046204620462,212.64821529543278,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,6,0.8,14,148,159,0.6105610561056105,75.72826935266085,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,6,0.9,14,185,198,0.7632013201320131,94.51031790908124,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,2,0.8,28,1482,1585,6.1138613861386135,759.9142788926112,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,2,0.9,28,1829,1956,7.545379537953795,937.8826993599507,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,4,0.8,28,371,397,1.5305280528052805,189.9785697231528,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,4,0.9,28,458,490,1.8894389438943895,234.47067483998768,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,6,0.8,28,165,177,0.6806930693069306,84.4349198769568,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,6,0.9,28,204,219,0.8415841584158416,104.20918881777231,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,2,0.8,1,663,709,2.735148514851485,379.321922348598,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,2,0.9,1,888,950,3.663366336633663,507.8044319054892,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,4,0.8,1,166,178,0.6848184818481848,94.8304805871495,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,4,0.9,1,222,238,0.9158415841584158,126.9511079763723,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,6,0.8,1,74,80,0.30528052805280526,42.14688026095533,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,6,0.9,1,99,106,0.4084158415841584,56.42271465616547,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,2,0.8,7,1054,1128,4.348184818481848,602.803054441482,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,2,0.9,7,1333,1426,5.499174917491749,762.3328475886558,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,4,0.8,7,264,283,1.0891089108910892,150.7007636103705,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,4,0.9,7,334,358,1.3778877887788779,190.58321189716395,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,6,0.8,7,118,127,0.4867986798679868,66.97811716016467,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,6,0.9,7,149,160,0.6146864686468647,84.70364973207288,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,2,0.8,14,1191,1274,4.913366336633663,681.5544241739476,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,2,0.9,14,1487,1591,6.134488448844884,850.5928611817311,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,4,0.8,14,298,319,1.2293729372937294,170.3886060434869,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,4,0.9,14,372,398,1.5346534653465347,212.64821529543278,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,6,0.8,14,133,143,0.5486798679867987,75.72826935266085,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,6,0.9,14,166,178,0.6848184818481848,94.51031790908124,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,2,0.8,28,1328,1421,5.478547854785479,759.9142788926112,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,2,0.9,28,1639,1753,6.761551155115511,937.8826993599507,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,4,0.8,28,332,356,1.3696369636963697,189.9785697231528,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,4,0.9,28,410,439,1.6914191419141913,234.47067483998768,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,6,0.8,28,148,159,0.6105610561056105,84.4349198769568,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,6,0.9,28,183,196,0.754950495049505,104.20918881777231,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,2,0.8,1,750,802,3.094059405940594,379.321922348598,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,2,0.9,1,1004,1074,4.141914191419142,507.8044319054892,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,4,0.8,1,188,202,0.7755775577557755,94.8304805871495,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,4,0.9,1,251,269,1.0354785478547854,126.9511079763723,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,6,0.8,1,84,90,0.3465346534653465,42.14688026095533,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,6,0.9,1,112,120,0.46204620462046203,56.42271465616547,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,2,0.8,7,1192,1275,4.917491749174918,602.803054441482,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,2,0.9,7,1507,1612,6.216996699669967,762.3328475886558,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,4,0.8,7,298,319,1.2293729372937294,150.7007636103705,2.690109527158867,True
