symbol,stage,group,feature,original_events,matched_events,original_event_SD,matched_SMD,retention_shift_SMD,matched_event_control_variance_ratio,gate_required,balance_pass
000688.SH,PAST_CALIPER,POOLED,parent_abs_drift,156,27,0.203987367984,0.0289941283304,-0.686417015683,1.23972506628,True,False
000688.SH,PAST_CALIPER,POOLED,parent_efficiency,156,27,0.0984517479585,-0.00189863420918,-0.79727812079,0.827890051479,True,False
000688.SH,PAST_CALIPER,POOLED,log1p_parent_age_bars,156,27,1.26550573843,-0.0292378928991,0.386239311454,0.856402929591,True,False
000688.SH,PAST_CALIPER,POOLED,local_vol_30_over_240,156,27,0.541402522064,-0.0202989335876,-0.00251381636866,1.0482795161,True,True
000688.SH,PAST_CALIPER,YEAR_2020,parent_abs_drift,156,27,0.203987367984,0.0289941283304,-0.686417015683,1.23972506628,True,False
000688.SH,PAST_CALIPER,YEAR_2020,parent_efficiency,156,27,0.0984517479585,-0.00189863420918,-0.79727812079,0.827890051479,True,False
000688.SH,PAST_CALIPER,YEAR_2020,log1p_parent_age_bars,156,27,1.26550573843,-0.0292378928991,0.386239311454,0.856402929591,True,False
000688.SH,PAST_CALIPER,YEAR_2020,local_vol_30_over_240,156,27,0.541402522064,-0.0202989335876,-0.00251381636866,1.0482795161,True,True
000688.SH,PAST_CALIPER,SIDE_LONG,parent_abs_drift,64,9,0.22555968713,-0.0344184979901,-1.08145504074,1.48035033875,True,False
000688.SH,PAST_CALIPER,SIDE_LONG,parent_efficiency,64,9,0.114930587763,-0.0150827517665,-0.850932100638,1.01325424355,True,False
000688.SH,PAST_CALIPER,SIDE_LONG,log1p_parent_age_bars,64,9,1.37446466258,-0.0468474537698,0.706313490356,0.854474839563,True,False
000688.SH,PAST_CALIPER,SIDE_LONG,local_vol_30_over_240,64,9,0.602290546561,-0.0140248703437,-0.0990993777247,0.852086732156,True,True
000688.SH,PAST_CALIPER,SIDE_SHORT,parent_abs_drift,92,18,0.187038203985,0.0681858916251,-0.483808376468,1.19856563258,True,False
000688.SH,PAST_CALIPER,SIDE_SHORT,parent_efficiency,92,18,0.0851081223054,0.00688945968934,-0.805057820879,0.607353624971,True,False
000688.SH,PAST_CALIPER,SIDE_SHORT,log1p_parent_age_bars,92,18,1.18235166207,-0.0197115610724,0.200621775772,0.854500610944,True,False
000688.SH,PAST_CALIPER,SIDE_SHORT,local_vol_30_over_240,92,18,0.491120899007,-0.024965985711,0.0782274759627,1.17525922929,True,True
