symbol,stage,group,original_events,matched_events,coverage,gate_required,coverage_pass,no_mature_exact,no_caliper_support,interval_blocked,balance_pass
000688.SH,PAST_CALIPER,POOLED,156,27,0.173076923077,True,False,34,95,0,False
000688.SH,PAST_CALIPER,YEAR_2020,156,27,0.173076923077,True,False,34,95,0,False
000688.SH,PAST_CALIPER,SIDE_LONG,64,9,0.140625,True,False,11,44,0,False
000688.SH,PAST_CALIPER,SIDE_SHORT,92,18,0.195652173913,True,False,23,51,0,False
000688.SH,PAST_CALIPER,YEAR_SIDE_2020_LONG,64,9,0.140625,True,False,11,44,0,False
000688.SH,PAST_CALIPER,YEAR_SIDE_2020_SHORT,92,18,0.195652173913,True,False,23,51,0,False
000688.SH,PAST_CALIPER_EXCLUSIVE,POOLED,156,17,0.108974358974,True,False,34,95,10,False
000688.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2020,156,17,0.108974358974,True,False,34,95,10,False
000688.SH,PAST_CALIPER_EXCLUSIVE,SIDE_LONG,64,8,0.125,True,False,11,44,1,False
000688.SH,PAST_CALIPER_EXCLUSIVE,SIDE_SHORT,92,9,0.0978260869565,True,False,23,51,9,False
000688.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2020_LONG,64,8,0.125,True,False,11,44,1,False
000688.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2020_SHORT,92,9,0.0978260869565,True,False,23,51,9,False
000688.SH,PAST_NEAREST,POOLED,156,122,0.782051282051,True,False,34,0,0,False
000688.SH,PAST_NEAREST,YEAR_2020,156,122,0.782051282051,True,False,34,0,0,False
000688.SH,PAST_NEAREST,SIDE_LONG,64,53,0.828125,True,True,11,0,0,False
000688.SH,PAST_NEAREST,SIDE_SHORT,92,69,0.75,True,False,23,0,0,False
000688.SH,PAST_NEAREST,YEAR_SIDE_2020_LONG,64,53,0.828125,True,True,11,0,0,False
000688.SH,PAST_NEAREST,YEAR_SIDE_2020_SHORT,92,69,0.75,True,False,23,0,0,False
000852.SH,PAST_CALIPER,POOLED,1752,414,0.236301369863,True,False,107,1231,0,False
000852.SH,PAST_CALIPER,YEAR_2015,645,119,0.184496124031,True,False,6,520,0,False
000852.SH,PAST_CALIPER,YEAR_2016,326,41,0.125766871166,True,False,92,193,0,False
000852.SH,PAST_CALIPER,YEAR_2017,96,33,0.34375,True,False,0,63,0,False
000852.SH,PAST_CALIPER,YEAR_2018,209,72,0.344497607656,True,False,0,137,0,False
000852.SH,PAST_CALIPER,YEAR_2019,201,85,0.422885572139,True,False,2,114,0,False
000852.SH,PAST_CALIPER,YEAR_2020,275,64,0.232727272727,True,False,7,204,0,False
000852.SH,PAST_CALIPER,SIDE_LONG,919,220,0.239390642002,True,False,57,642,0,False
000852.SH,PAST_CALIPER,SIDE_SHORT,833,194,0.232893157263,True,False,50,589,0,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2015_LONG,364,64,0.175824175824,True,False,5,295,0,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2015_SHORT,281,55,0.195729537367,True,False,1,225,0,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2016_LONG,176,27,0.153409090909,True,False,44,105,0,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2016_SHORT,150,14,0.0933333333333,True,False,48,88,0,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2017_LONG,41,16,0.390243902439,True,False,0,25,0,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2017_SHORT,55,17,0.309090909091,True,False,0,38,0,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2018_LONG,81,29,0.358024691358,True,False,0,52,0,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2018_SHORT,128,43,0.3359375,True,False,0,85,0,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2019_LONG,105,42,0.4,True,False,1,62,0,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2019_SHORT,96,43,0.447916666667,True,False,1,52,0,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2020_LONG,152,42,0.276315789474,True,False,7,103,0,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2020_SHORT,123,22,0.178861788618,True,False,0,101,0,False
000852.SH,PAST_CALIPER_EXCLUSIVE,POOLED,1752,241,0.137557077626,True,False,107,1231,173,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2015,645,35,0.0542635658915,True,False,6,520,84,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2016,326,30,0.0920245398773,True,False,92,193,11,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2017,96,31,0.322916666667,True,False,0,63,2,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2018,209,50,0.239234449761,True,False,0,137,22,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2019,201,51,0.253731343284,True,False,2,114,34,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2020,275,44,0.16,True,False,7,204,20,False
000852.SH,PAST_CALIPER_EXCLUSIVE,SIDE_LONG,919,133,0.144722524483,True,False,57,642,87,False
000852.SH,PAST_CALIPER_EXCLUSIVE,SIDE_SHORT,833,108,0.129651860744,True,False,50,589,86,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2015_LONG,364,23,0.0631868131868,True,False,5,295,41,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2015_SHORT,281,12,0.0427046263345,True,False,1,225,43,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2016_LONG,176,20,0.113636363636,True,False,44,105,7,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2016_SHORT,150,10,0.0666666666667,True,False,48,88,4,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2017_LONG,41,14,0.341463414634,True,False,0,25,2,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2017_SHORT,55,17,0.309090909091,True,False,0,38,0,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2018_LONG,81,24,0.296296296296,True,False,0,52,5,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2018_SHORT,128,26,0.203125,True,False,0,85,17,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2019_LONG,105,23,0.219047619048,True,False,1,62,19,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2019_SHORT,96,28,0.291666666667,True,False,1,52,15,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2020_LONG,152,29,0.190789473684,True,False,7,103,13,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2020_SHORT,123,15,0.121951219512,True,False,0,101,7,False
000852.SH,PAST_NEAREST,POOLED,1752,1645,0.938926940639,True,True,107,0,0,False
000852.SH,PAST_NEAREST,YEAR_2015,645,639,0.990697674419,True,True,6,0,0,False
000852.SH,PAST_NEAREST,YEAR_2016,326,234,0.717791411043,True,False,92,0,0,False
000852.SH,PAST_NEAREST,YEAR_2017,96,96,1,True,True,0,0,0,False
000852.SH,PAST_NEAREST,YEAR_2018,209,209,1,True,True,0,0,0,False
000852.SH,PAST_NEAREST,YEAR_2019,201,199,0.990049751244,True,True,2,0,0,False
000852.SH,PAST_NEAREST,YEAR_2020,275,268,0.974545454545,True,True,7,0,0,False
000852.SH,PAST_NEAREST,SIDE_LONG,919,862,0.937976060936,True,True,57,0,0,False
