symbol,stage,cohort,horizon,pairs,unique_controls,maximum_exact_reuse,control_inclusive_overlap_pairs,maximum_control_increment_multiplicity,control_increment_minutes_used_more_than_once,event_control_shared_increment_minutes,within_pair_interval_overlaps,event_unit_energy,control_unit_energy,net_unit_energy,control_unit_energy_ratio_NOT_variance_effect,unit_covariance_cancellation_NOT_observed_noise,control_calendar_HHI_unit_incidence,largest_control_day_unit_share,control_after_event_count,full_240_maturity_violations
000688.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,1,156,143,3,24,3,11,0,14,156,186,342,1.19230769231,0,0.0371466140697,0.0961538461538,81,101
000688.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,5,156,143,3,55,6,96,81,19,780,1066,1672,1.36666666667,0.0942578548212,0.036936226167,0.0961538461538,81,101
000688.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,15,156,143,3,105,6,421,310,20,2372,3848,5504,1.64444444444,0.115112540193,0.0367046533713,0.0940170940171,81,101
000688.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,30,156,143,3,150,7,953,662,20,4916,9150,12484,1.95512820513,0.112469785298,0.0362518262839,0.0918803418803,81,101
000688.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,60,156,143,3,255,9,2060,1382,20,10992,24060,30976,2.57051282051,0.116284377496,0.0358277859961,0.0849358974359,81,101
000688.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,120,156,143,3,376,10,4210,2822,20,26716,63554,78204,3.39497863248,0.133665669658,0.0349423293794,0.0834401709402,81,101
000688.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,240,156,143,3,561,16,8135,5702,20,69632,160344,194384,4.28269230769,0.154763975371,0.0307670463625,0.086672008547,81,101
000688.SH,PAST_NEAREST,NEW_ASSIGNMENT_SAME_EVENTS,1,122,103,6,50,6,12,0,0,122,186,308,1.52459016393,0,0.102123085192,0.22131147541,0,0
000688.SH,PAST_NEAREST,ORIGINAL_REFERENCE_SAME_EVENTS,1,122,111,3,20,3,9,0,12,122,148,270,1.2131147541,0,0.0352055898952,0.0737704918033,49,67
000688.SH,PAST_NEAREST,NEW_ASSIGNMENT_SAME_EVENTS,5,122,103,6,127,9,87,10,0,610,1252,1850,2.05245901639,0.00644468313641,0.101779091642,0.22131147541,0,0
