day,event_contribution_bp,control_contribution_bp,difference_contribution_bp,symbol,horizon,view
2015-01-05,0,0,0,000852.SH,1,SIGNED
2015-01-06,11.1542981844,41.9412917443,-30.7869935599,000852.SH,1,SIGNED
2015-01-07,0.746238311139,0,0.746238311139,000852.SH,1,SIGNED
2015-01-08,2.35986741283,0,2.35986741283,000852.SH,1,SIGNED
2015-01-09,3.13805927221,0,3.13805927221,000852.SH,1,SIGNED
2015-01-12,0,4.17862902964,-4.17862902964,000852.SH,1,SIGNED
2015-01-13,0.0956903905525,12.1073103193,-12.0116199288,000852.SH,1,SIGNED
2015-01-14,0,-6.83400401053,6.83400401053,000852.SH,1,SIGNED
2015-01-15,0,-0.770835988394,0.770835988394,000852.SH,1,SIGNED
2015-01-16,0,0,0,000852.SH,1,SIGNED
2015-01-19,5.54551537369,8.89324005543,-3.34772468174,000852.SH,1,SIGNED
2015-01-20,-7.10671797703,0,-7.10671797703,000852.SH,1,SIGNED
2015-01-21,2.28194049004,-8.23652197399,10.518462464,000852.SH,1,SIGNED
2015-01-22,1.49047789296,0,1.49047789296,000852.SH,1,SIGNED
2015-01-23,2.83269913633,7.72330884262,-4.89060970629,000852.SH,1,SIGNED
2015-01-26,2.90689244291,2.53954331229,0.36734913062,000852.SH,1,SIGNED
2015-01-27,1.66665685589,-5.54004921177,7.20670606767,000852.SH,1,SIGNED
2015-01-28,1.47318584519,0,1.47318584519,000852.SH,1,SIGNED
2015-01-29,-4.00506836579,0,-4.00506836579,000852.SH,1,SIGNED
2015-01-30,8.52383811695,22.7722147793,-14.2483766623,000852.SH,1,SIGNED
2015-02-02,-2.80847387546,0,-2.80847387546,000852.SH,1,SIGNED
2015-02-03,0,3.88114517848,-3.88114517848,000852.SH,1,SIGNED
2015-02-04,0.499380549511,2.53648876974,-2.03710822023,000852.SH,1,SIGNED
2015-02-05,0,7.16538346134,-7.16538346134,000852.SH,1,SIGNED
2015-02-06,0,1.80292212126,-1.80292212126,000852.SH,1,SIGNED
