symbol,horizon,view,lag_trading_days,products,event_lag_product_bp2,control_lag_product_bp2,event_control_lag_product_bp2,control_event_lag_product_bp2,difference_lag_product_bp2,mean_variance_estimator
000852.SH,1,SIGNED,0,1462,90.2985171763,415.611280045,0.260365236165,0.260365236165,505.389066749,False
000852.SH,1,SIGNED,1,1461,8.96029783512,-3.95248799385,2.31819529818,3.45552805258,-0.765913509497,False
000852.SH,1,SIGNED,5,1457,5.27184251784,-0.484807263832,-3.29761781209,14.5550142912,-6.4703612251,False
000852.SH,1,SIGNED,20,1442,3.19002137006,22.4796083813,23.8862421367,2.42298488862,-0.639597273908,False
000852.SH,1,SIGNED,60,1402,-3.01610441642,-0.378981534662,-18.09030085,-0.327955887595,15.0231707865,False
000852.SH,1,UNSIGNED,0,1462,125.906872608,429.643080037,0.312889333162,0.312889333162,554.924173979,False
000852.SH,1,UNSIGNED,1,1461,12.5270253613,2.55153642143,-5.84218496595,2.75481252374,18.165934225,False
000852.SH,1,UNSIGNED,5,1457,-6.11527656188,0.674393010506,7.67093897556,-3.13416685618,-9.97765567076,False
000852.SH,1,UNSIGNED,20,1442,20.441791179,-26.3083253217,53.7134252982,-3.03615041187,-56.5438090291,False
000852.SH,1,UNSIGNED,60,1402,0.0797843318256,3.07308642395,9.60118463972,2.23989942326,-8.68821330721,False
000852.SH,5,SIGNED,0,1462,1443.12577411,9986.12529149,8.85975099529,8.85975099529,11411.5315636,False
000852.SH,5,SIGNED,1,1461,-40.0968081183,-212.337929349,-176.184140498,-6.8722460587,-69.37835091,False
000852.SH,5,SIGNED,5,1457,138.836813488,-56.4008907891,7.1803253398,-27.5468256137,102.802422973,False
000852.SH,5,SIGNED,20,1442,92.2488508462,17.7088661851,-5.71118797302,97.7249635251,17.9439414793,False
000852.SH,5,SIGNED,60,1402,62.4747357443,4.40544363792,130.534047675,20.7574668587,-84.4113351516,False
000852.SH,5,UNSIGNED,0,1462,1388.19716503,10015.988833,-49.7904997059,-49.7904997059,11503.7669974,False
000852.SH,5,UNSIGNED,1,1461,132.597786719,26.0740139318,271.132795742,103.455802847,-215.916797938,False
000852.SH,5,UNSIGNED,5,1457,108.223450831,30.8849683701,3.0401721147,76.6211631051,59.4470839817,False
000852.SH,5,UNSIGNED,20,1442,94.7700178041,-553.539483357,537.580155066,-40.7199479065,-955.629672712,False
000852.SH,5,UNSIGNED,60,1402,-77.7438693727,96.7078412051,-157.775528211,-3.67341323366,180.412913277,False
000852.SH,15,SIGNED,0,1462,3764.07077463,14823.1166595,329.939879463,329.939879463,17927.3076752,False
