symbol,horizon,view,n,unique_controls,maximum_control_reuse,pairs_using_repeated_control_fraction,effective_controls_IF_independent_equal_variance,control_after_event_fraction,same_day_fraction,median_absolute_control_gap_trading_days,p90_absolute_control_gap_trading_days,within_pair_overlap_fraction,maximum_within_pair_overlap_bars,event_primitive_weight_energy,control_primitive_weight_energy,event_sum_individual_energies,control_sum_individual_energies,control_exact_reuse_excess_energy,control_other_overlap_energy,net_primitive_weight_energy,primitive_covariance_cancellation_ratio_ASSUMPTION,control_exact_reuse_fraction_of_energy,minute_absolute_exposure_cancellation,calendar_trading_days,pairs_per_calendar_day,event_reconstruction_error_bp,control_reconstruction_error_bp,daily_n,daily_event_var_bp2,daily_control_var_bp2,daily_event_control_cov_bp2,daily_covariance_term_bp2,daily_difference_var_bp2,daily_event_sd_bp,daily_control_sd_bp,daily_difference_sd_bp,daily_event_control_correlation,daily_event_share_of_difference,daily_control_share_of_difference,daily_covariance_share_of_difference,daily_cancellation_relative_to_marginal_sum,daily_top_1pct_centered_square_share,daily_top_5pct_centered_square_share,daily_variance_identity_error_bp2
000852.SH,1,SIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0,0,1752,2676,1752,1752,924,0,4428,0,0.345291479821,0,1462,1.19835841313,1.70530256582e-11,2.63753463514e-11,1462,90.2985171763,415.611280045,0.260365236165,-0.520730472329,505.389066749,9.5025531925,20.3865465453,22.4808600091,0.00134399924443,0.178671291322,0.822359064312,-0.00103035563408,0.00102929509409,0.808886428558,0.919308265814,1.13686837722e-13
000852.SH,1,UNSIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0,0,1752,2676,1752,1752,924,0,4428,0,0.345291479821,0,1462,1.19835841313,1.7564616428e-11,1.21644916362e-11,1462,125.906872608,429.643080037,0.312889333162,-0.625778666325,554.924173979,11.2208231698,20.7278334622,23.5568286061,0.00134527827473,0.226890228452,0.774237454744,-0.00112768319649,0.00112641295953,0.824398110947,0.933307289286,7.27595761418e-12
000852.SH,5,SIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0.186643835616,4,8765.89085317,18513.2953708,8759.98062327,8758.60876781,4613.67138395,5141.015219,24098.4824423,0.116598191584,0.249208543998,0.141383829086,1462,1.19835841313,1.54614099301e-11,6.36646291241e-12,1462,1443.12577411,9986.12529149,8.85975099529,-17.7195019906,11411.5315636,37.9884952861,99.9306023773,106.824770365,0.00233383914128,0.126462058669,0.875090712919,-0.00155277158827,0.00155036422675,0.883452002745,0.960134106536,5.09317032993e-11
000852.SH,5,UNSIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0.186643835616,4,8765.89085317,18565.828251,8759.98062327,8758.60876781,4613.67138395,5193.54809919,24151.0153225,0.116374084246,0.248503396756,0.14130315797,1462,1.19835841313,2.4101609597e-11,3.68345354218e-11,1462,1388.19716503,10015.988833,-49.7904997059,99.5809994118,11503.7669974,37.2585180198,100.079912235,107.255615226,-0.0133528506821,0.120673268621,0.870670349567,0.00865638181251,-0.00873196907076,0.895896673308,0.962948857233,1.27329258248e-10
000852.SH,15,SIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0.201484018265,14,26617.8642183,77801.1820003,26286.34975,26273.7616934,13827.277846,37700.1424609,90840.7818406,0.130036280446,0.177725806864,0.183365182045,1462,1.19835841313,1.27329258248e-11,1.09139364213e-11,1462,3764.07077463,14823.1166595,329.939879463,-659.879758927,17927.3076752,61.3520233947,121.750222421,133.892896284,0.0441708907935,0.209962970615,0.826845666291,-0.0368086369064,0.0355018617671,0.80137143918,0.928582028527,4.72937244922e-11
000852.SH,15,UNSIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0.201484018265,14,26866.541027,79934.9769624,26286.34975,26273.7616934,13827.277846,39833.937423,93191.3182861,0.127434515534,0.172981570414,0.181956239158,1462,1.19835841313,3.13775672112e-11,1.5916157281e-11,1462,4717.23286974,15766.183689,319.719215577,-639.438431153,19843.9781276,68.6821146278,125.563464786,140.868655589,0.0370733464497,0.237716088952,0.794507209574,-0.0322232985262,0.0312173718344,0.799345549786,0.93365448243,2.14640749618e-10
000852.SH,30,SIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0.202054794521,29,56022.5755576,196080.192097,52564.3164529,52548.4580757,27673.3537042,115858.380317,219650.672841,0.128725658648,0.141132836562,0.198961862695,1462,1.19835841313,2.13731254917e-11,4.18367562816e-11,1462,8148.81947879,26317.303287,639.477877823,-1278.95575565,33187.1670102,90.2708118873,162.22608695,182.173453089,0.0436674150297,0.245541280348,0.792996379563,-0.0385376599109,0.0371076191057,0.747695443814,0.905218626404,2.40106601268e-10
000852.SH,30,UNSIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0.202054794521,29,58449.6384424,208827.733978,52564.3164529,52548.4580757,27673.3537042,128605.922198,234542.466881,0.122475409133,0.132517617162,0.195104135228,1462,1.19835841313,1.45519152284e-11,2.46700437856e-11,1462,11783.1442096,33168.2781434,678.456862201,-1356.9137244,43594.5086286,108.550192121,182.121602627,208.792980315,0.0343186487436,0.270289643817,0.760836150855,-0.031125794672,0.0301862244479,0.749949058379,0.926051159124,3.1286617741e-10
000852.SH,60,SIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0.202054794521,59,126396.466916,495006.245025,105084.874337,105098.487698,55365.405382,334542.351945,542977.397876,0.126206906661,0.111847892705,0.215362368573,1462,1.19835841313,4.36557456851e-11,3.63797880709e-11,1462,18967.6016523,49772.8035948,3626.22924943,-7252.45849886,61487.9467483,137.72291622,223.09819272,247.967632461,0.118019289116,0.308476744718,0.809472526357,-0.117949271075,0.105505029724,0.667597638617,0.88410419659,2.40106601268e-10
000852.SH,60,UNSIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0.202054794521,59,145663.643504,571615.825446,105084.874337,105098.487698,55365.405382,411151.932366,635931.475046,0.113411853295,0.0968577196735,0.205375834369,1462,1.19835841313,0,1.25055521494e-11,1462,32479.4497507,70122.4009228,4483.01031956,-8966.02063912,93635.8300344,180.220558624,264.806346077,305.999722278,0.0939370718103,0.346869886653,0.748884277494,-0.0957541641466,0.0873865391342,0.653052909498,0.903055920043,8.73114913702e-11
