symbol,horizon,K,control_correlation_ASSUMED,event_control_covariance_ASSUMED,variance_ratio_to_independent_one_control,information_multiple_ASSUMPTION,actual_matching_changed
000852.SH,1,1,0,0,1,1,False
000852.SH,1,2,0,0,0.807855535825,1.23784507954,False
000852.SH,1,5,0,0,0.692568857321,1.44389975008,False
000852.SH,1,10,0,0,0.654139964486,1.52872482082,False
000852.SH,1,infinity,0,0,0.615711071651,1.62413840849,False
000852.SH,1,1,0.5,0,1,1,False
000852.SH,1,2,0.5,0,0.903927767913,1.10628308533,False
000852.SH,1,5,0.5,0,0.84628442866,1.18163582613,False
000852.SH,1,10,0.5,0,0.827069982243,1.20908752762,False
000852.SH,1,infinity,0.5,0,0.807855535825,1.23784507954,False
000852.SH,5,1,0,0,1,1,False
000852.SH,5,2,0,0,0.797759442212,1.25351070396,False
000852.SH,5,5,0,0,0.676415107539,1.47838211899,False
000852.SH,5,10,0,0,0.635966995982,1.5724086412,False
000852.SH,5,infinity,0,0,0.595518884424,1.67920787427,False
000852.SH,5,1,0.5,0,1,1,False
000852.SH,5,2,0.5,0,0.898879721106,1.11249589519,False
000852.SH,5,5,0.5,0,0.83820755377,1.19302193771,False
000852.SH,5,10,0.5,0,0.817983497991,1.22251855014,False
000852.SH,5,infinity,0.5,0,0.797759442212,1.25351070396,False
000852.SH,15,1,0,0,1,1,False
000852.SH,15,2,0,0,0.833710751208,1.19945676429,False
000852.SH,15,5,0,0,0.733937201932,1.36251439138,False
000852.SH,15,10,0,0,0.700679352174,1.4271863398,False
000852.SH,15,infinity,0,0,0.667421502415,1.49830354039,False
000852.SH,15,1,0.5,0,1,1,False
000852.SH,15,2,0.5,0,0.916855375604,1.0906845579,False
000852.SH,15,5,0.5,0,0.866968600966,1.15344431031,False
000852.SH,15,10,0.5,0,0.850339676087,1.17600063612,False
000852.SH,15,infinity,0.5,0,0.833710751208,1.19945676429,False
000852.SH,30,1,0,0,1,1,False
000852.SH,30,2,0,0,0.838759751356,1.19223651157,False
000852.SH,30,5,0,0,0.742015602169,1.34768055695,False
000852.SH,30,10,0,0,0.70976755244,1.40891196922,False
000852.SH,30,infinity,0,0,0.677519502711,1.47597227238,False
000852.SH,30,1,0.5,0,1,1,False
000852.SH,30,2,0.5,0,0.919379875678,1.08768967698,False
000852.SH,30,5,0.5,0,0.871007801084,1.14809534284,False
000852.SH,30,10,0.5,0,0.85488377622,1.16974965231,False
000852.SH,30,infinity,0.5,0,0.838759751356,1.19223651157,False
000852.SH,60,1,0,0,1,1,False
000852.SH,60,2,0,0,0.841867942259,1.18783475389,False
000852.SH,60,5,0,0,0.746988707614,1.33870832291,False
000852.SH,60,10,0,0,0.715362296066,1.3978930753,False
000852.SH,60,infinity,0,0,0.683735884518,1.46255304518,False
000852.SH,60,1,0.5,0,1,1,False
000852.SH,60,2,0.5,0,0.920933971129,1.08585417777,False
