pair_id,symbol,event_day,control_day,calendar_year,parent_direction,side,clock_bucket,horizon,event_bp,control_bp,difference_bp
000852.SH:DEV_R1_A:246:245,000852.SH,2015-01-06,2015-01-06,2015,1,LONG,19,1,5.41392441431,9.47503328729,-4.06110887298
000852.SH:DEV_R1_A:328:42790,000852.SH,2015-01-06,2015-09-24,2015,1,LONG,21,1,5.33509181494,-2.66649142805,8.00158324299
000852.SH:DEV_R1_A:450:13187,000852.SH,2015-01-06,2015-03-27,2015,1,LONG,29,1,2.6178308426,0.160716704667,2.45711413793
000852.SH:DEV_R1_A:584:35145,000852.SH,2015-01-07,2015-08-07,2015,1,LONG,22,1,0.894260958355,-2.55700428985,3.45126524821
000852.SH:DEV_R1_A:775:9178,000852.SH,2015-01-08,2015-03-05,2015,1,LONG,20,1,2.82796696804,1.45964684656,1.36832012149
000852.SH:DEV_R1_A:970:42740,000852.SH,2015-01-09,2015-09-24,2015,1,LONG,19,1,3.76051972976,-0.0759420612706,3.83646179103
000852.SH:DEV_R1_A:1539:1536,000852.SH,2015-01-13,2015-01-13,2015,-1,SHORT,22,1,0.114671384575,5.61120408587,-5.4965327013
000852.SH:DEV_R1_A:2542:2541,000852.SH,2015-01-19,2015-01-19,2015,1,LONG,26,1,6.64551500322,8.03914320168,-1.39362819846
000852.SH:DEV_R1_A:2647:57622,000852.SH,2015-01-20,2015-12-28,2015,-1,SHORT,19,1,-8.51639527754,-2.078213182,-6.43818209554
000852.SH:DEV_R1_A:2956:2954,000852.SH,2015-01-21,2015-01-21,2015,1,LONG,21,1,1.89776639118,5.07597615226,-3.17820976108
000852.SH:DEV_R1_A:3088:11488,000852.SH,2015-01-21,2015-03-18,2015,1,LONG,28,1,0.836816193324,-0.25825302894,1.09506922226
000852.SH:DEV_R1_A:3190:2945,000852.SH,2015-01-22,2015-01-21,2015,1,LONG,21,1,1.78612672261,0.0779422011821,1.70818452143
000852.SH:DEV_R1_A:3446:3445,000852.SH,2015-01-23,2015-01-23,2015,1,LONG,21,1,3.39458884189,2.41655246672,0.978036375174
000852.SH:DEV_R1_A:3716:3715,000852.SH,2015-01-26,2015-01-26,2015,1,LONG,22,1,3.48349901504,3.0432830938,0.440215921236
000852.SH:DEV_R1_A:3979:3978,000852.SH,2015-01-27,2015-01-27,2015,1,LONG,26,1,1.99725226506,4.32925334003,-2.33200107497
000852.SH:DEV_R1_A:4093:13460,000852.SH,2015-01-28,2015-03-31,2015,1,LONG,19,1,1.76540465169,-6.40199714726,8.16740179895
000852.SH:DEV_R1_A:4326:1228,000852.SH,2015-01-29,2015-01-12,2015,1,LONG,19,1,-4.79950737132,-4.17744606736,-0.622061303955
000852.SH:DEV_R1_A:4749:4747,000852.SH,2015-01-30,2015-01-30,2015,-1,SHORT,28,1,10.2146131196,6.43767722547,3.77693589416
000852.SH:DEV_R1_A:4821:26168,000852.SH,2015-02-02,2015-06-16,2015,-1,SHORT,19,1,-3.36555829672,15.9098276505,-19.2753859472
000852.SH:DEV_R1_A:5363:5362,000852.SH,2015-02-04,2015-02-04,2015,1,LONG,21,1,0.598436882862,2.37935260659,-1.78091572373
000852.SH:DEV_R1_A:7925:7924,000852.SH,2015-02-26,2015-02-26,2015,1,LONG,19,1,4.57718111236,4.22248501802,0.354696094331
000852.SH:DEV_R1_A:8886:8885,000852.SH,2015-03-04,2015-03-04,2015,1,LONG,19,1,2.97039732144,0.383291764428,2.58710555701
000852.SH:DEV_R1_A:9181:9180,000852.SH,2015-03-05,2015-03-05,2015,1,LONG,21,1,0.810643204852,0.526945848882,0.283697355969
000852.SH:DEV_R1_A:9554:4744,000852.SH,2015-03-06,2015-01-30,2015,-1,SHORT,28,1,7.46700034683,-0.287886639334,7.75488698616
000852.SH:DEV_R1_A:10505:10504,000852.SH,2015-03-12,2015-03-12,2015,1,LONG,28,1,0.34744819347,2.13859999225,-1.79115179878
000852.SH:DEV_R1_A:11236:11235,000852.SH,2015-03-17,2015-03-17,2015,1,LONG,28,1,1.84124670057,3.50716508781,-1.66591838724
000852.SH:DEV_R1_A:11530:11529,000852.SH,2015-03-19,2015-03-19,2015,1,LONG,19,1,5.71229211556,6.18292357636,-0.470631460798
000852.SH:DEV_R1_A:11571:2922,000852.SH,2015-03-19,2015-01-21,2015,1,LONG,20,1,2.00887826198,-5.07259270358,7.08147096556
000852.SH:DEV_R1_A:11686:58239,000852.SH,2015-03-19,2015-12-30,2015,1,LONG,27,1,0.233048768521,6.53439800458,-6.30134923606
000852.SH:DEV_R1_A:11892:57490,000852.SH,2015-03-20,2015-12-25,2015,1,LONG,26,1,2.80134706154,1.85421577854,0.947131283004
000852.SH:DEV_R1_A:12195:12184,000852.SH,2015-03-23,2015-03-23,2015,1,LONG,28,1,3.40989528094,0.117814632814,3.29208064813
000852.SH:DEV_R1_A:12250:19938,000852.SH,2015-03-24,2015-05-11,2015,1,LONG,19,1,7.95676745239,18.0563053712,-10.0995379188
000852.SH:DEV_R1_A:12337:19078,000852.SH,2015-03-24,2015-05-05,2015,-1,SHORT,22,1,16.8974924926,2.54123098017,14.3562615125
000852.SH:DEV_R1_A:12382:24360,000852.SH,2015-03-24,2015-06-04,2015,-1,SHORT,26,1,-4.35900275442,71.0580240846,-75.417026839
000852.SH:DEV_R1_A:12487:1935,000852.SH,2015-03-25,2015-01-15,2015,1,LONG,19,1,5.38493005369,-3.57018827875,8.95511833244
000852.SH:DEV_R1_A:12509:2914,000852.SH,2015-03-25,2015-01-21,2015,1,LONG,20,1,6.82095962015,-1.78993062851,8.61089024866
000852.SH:DEV_R1_A:12595:57478,000852.SH,2015-03-25,2015-12-25,2015,1,LONG,22,1,2.9637151663,5.28830611631,-2.32459095001
000852.SH:DEV_R1_A:12726:244,000852.SH,2015-03-26,2015-01-06,2015,1,LONG,19,1,7.76234126012,12.2827427464,-4.52040148632
000852.SH:DEV_R1_A:12829:24358,000852.SH,2015-03-26,2015-06-04,2015,-1,SHORT,22,1,-1.71379206223,32.8518023459,-34.5655944082
000852.SH:DEV_R1_A:13560:5886,000852.SH,2015-03-31,2015-02-06,2015,1,LONG,26,1,3.59859700269,1.08027344612,2.51832355657
000852.SH:DEV_R1_A:13649:7898,000852.SH,2015-03-31,2015-02-25,2015,1,LONG,29,1,6.86498074276,0.628192718104,6.23678802466
000852.SH:DEV_R1_A:13864:13141,000852.SH,2015-04-01,2015-03-27,2015,1,LONG,28,1,3.5661311155,0.195103588529,3.37102752697
000852.SH:DEV_R1_A:13980:3432,000852.SH,2015-04-02,2015-01-23,2015,1,LONG,21,1,-1.16507202014,-1.94624382604,0.781171805905
000852.SH:DEV_R1_A:14103:19408,000852.SH,2015-04-02,2015-05-06,2015,1,LONG,28,1,3.24965205746,-21.9331575105,25.1828095679
000852.SH:DEV_R1_A:14164:42982,000852.SH,2015-04-03,2015-09-25,2015,1,LONG,19,1,14.5329906485,3.70672493201,10.8262657165
000852.SH:DEV_R1_A:14281:19828,000852.SH,2015-04-03,2015-05-08,2015,1,LONG,26,1,7.44842877978,-0.545989705614,7.9944184854
000852.SH:DEV_R1_A:14370:13177,000852.SH,2015-04-03,2015-03-27,2015,1,LONG,29,1,3.67107976565,-1.22774990161,4.89882966725
000852.SH:DEV_R1_A:14460:58163,000852.SH,2015-04-07,2015-12-30,2015,1,LONG,21,1,1.09403205514,9.93840607695,-8.84437402181
000852.SH:DEV_R1_A:14653:35064,000852.SH,2015-04-08,2015-08-07,2015,1,LONG,19,1,11.2649108967,29.0877273479,-17.8228164512
000852.SH:DEV_R1_A:14948:14947,000852.SH,2015-04-09,2015-04-09,2015,-1,SHORT,21,1,8.78664694921,10.9629874969,-2.17634054769
000852.SH:DEV_R1_A:15295:15294,000852.SH,2015-04-10,2015-04-10,2015,1,LONG,27,1,3.92608928094,4.62782566364,-0.7017363827
000852.SH:DEV_R1_A:15402:35071,000852.SH,2015-04-13,2015-08-07,2015,1,LONG,20,1,3.98629955436,3.87679420896,0.109505345405
000852.SH:DEV_R1_A:15532:15283,000852.SH,2015-04-13,2015-04-10,2015,1,LONG,27,1,2.22016726618,3.22960160557,-1.00943433939
000852.SH:DEV_R1_A:15628:35065,000852.SH,2015-04-14,2015-08-07,2015,1,LONG,19,1,2.39356738907,13.395170291,-11.001602902
