symbol,horizon,view,n,event_var_bp2,control_var_bp2,event_control_cov_bp2,covariance_term_bp2,difference_var_bp2,event_sd_bp,control_sd_bp,difference_sd_bp,event_control_correlation,event_share_of_difference,control_share_of_difference,covariance_share_of_difference,cancellation_relative_to_marginal_sum,top_1pct_centered_square_share,top_5pct_centered_square_share,variance_identity_error_bp2
000852.SH,1,POOLED_SIGNED,1752,129.304832558,80.7041124025,6.65225565905,-13.3045113181,196.704433642,11.3712282783,8.98354676075,14.0251357798,0.0651198993772,0.657355963785,0.410281105048,-0.0676370688335,0.063352117314,0.314537330748,0.588499067357,1.42108547152e-13
000852.SH,1,POOLED_UNSIGNED,1752,129.589468221,83.4408908577,7.53685477197,-15.0737095439,197.956649534,11.3837370059,9.13459856029,14.0697068034,0.0724796065195,0.654635590799,0.421510927034,-0.076146517833,0.070758504136,0.314644543669,0.588613774838,1.13686837722e-13
000852.SH,1,YEAR_2015,645,223.398649541,143.423709361,5.83929443152,-11.678588863,355.143770039,14.9465263369,11.9759638176,18.8452585559,0.0326219281646,0.629037219254,0.403846896555,-0.0328841158097,0.0318371783498,0.280707861825,0.550801534984,5.68434188608e-14
000852.SH,1,YEAR_2016,326,145.231673765,62.7512545973,11.1413450142,-22.2826900284,185.700238334,12.0512104689,7.92156894796,13.6271874697,0.116706688248,0.782075860904,0.337916930857,-0.119992791761,0.107137110742,0.228288341918,0.52082479179,0
000852.SH,1,YEAR_2017,96,13.501962908,12.3993707081,4.77452576253,-9.54905152505,16.3522820911,3.67450172242,3.52127401775,4.0437955056,0.369004755876,0.825692880836,0.758265460383,-0.583958341218,0.368670264882,0.0746512764066,0.354636712405,0
000852.SH,1,YEAR_2018,209,22.9682240948,20.8376409373,4.20546719882,-8.41093439764,35.3949306345,4.79251751116,4.56482649586,5.94936388486,0.192232257634,0.648912815567,0.588718230656,-0.237631046222,0.192004755333,0.147069926364,0.394280373213,7.1054273576e-15
000852.SH,1,YEAR_2019,201,41.8144773338,35.2839429317,6.51778150539,-13.0355630108,64.0628572547,6.46641147266,5.94002886623,8.00392761428,0.169686739861,0.652710152586,0.550770671864,-0.20348082445,0.169076914493,0.186335603864,0.4853848605,2.84217094304e-14
000852.SH,1,YEAR_2020,275,73.0442516456,50.8395826914,6.73275204837,-13.4655040967,110.41833024,8.54659298467,7.13018812455,10.5080126684,0.110483801818,0.661522878372,0.460427019506,-0.121949897879,0.108694602236,0.202297072944,0.493420304211,0
000852.SH,1,LONG,919,79.1553566185,37.2334850541,2.03044310247,-4.06088620494,112.327955468,8.89692961749,6.10192470079,10.5984883577,0.0374010526126,0.704680827573,0.331471225476,-0.0361520530489,0.0348906832183,0.26942763815,0.495278019632,4.26325641456e-14
000852.SH,1,SHORT,833,184.589566462,128.013308446,11.5856107739,-23.1712215479,289.43165336,13.5863742942,11.3142966395,17.01269095,0.0753681401147,0.637765649745,0.442292012501,-0.0800576622455,0.0741235075163,0.28093733408,0.572810637025,5.68434188608e-14
