symbol,horizon,n,strata,singleton_strata,minimum_stratum_n,ex_post_not_causally_available,reconstruction_error_bp2,component,event_var_bp2,control_var_bp2,event_control_cov_bp2,covariance_term_bp2,difference_var_bp2,event_sd_bp,control_sd_bp,difference_sd_bp,event_control_correlation,event_share_of_difference,control_share_of_difference,covariance_share_of_difference,cancellation_relative_to_marginal_sum
000852.SH,1,1752,101,6,1,True,1.11910480882e-13,TOTAL,129.304832558,80.7041124025,6.65225565905,-13.3045113181,196.704433642,11.3712282783,8.98354676075,14.0251357798,0.0651198993772,0.657355963785,0.410281105048,-0.0676370688335,0.063352117314
000852.SH,1,1752,101,6,1,True,1.11910480882e-13,WITHIN,121.453120649,70.998826674,6.45217628165,-12.9043525633,179.54759476,11.0205771468,8.4260801488,13.3995371099,0.0694826381292,0.676439697293,0.395431789377,-0.0718714866695,0.0670523356235
000852.SH,1,1752,101,6,1,True,1.11910480882e-13,BETWEEN,7.8517119089,9.70528572853,0.200079377405,-0.400158754809,17.1568388826,2.80209063181,3.11533075749,4.14208146741,0.0229200724597,0.457643273485,0.565680297806,-0.0233235712911,0.0227919808997
000852.SH,5,1752,101,6,1,True,2.84217094304e-13,TOTAL,1966.1091605,1335.39682348,234.535946487,-469.071892974,2832.43409102,44.3408294973,36.5430817459,53.2206171612,0.144743954001,0.694141186459,0.471466159697,-0.165607346156,0.142078159255
000852.SH,5,1752,101,6,1,True,2.84217094304e-13,WITHIN,1829.77471437,1130.27630322,218.64181604,-437.283632079,2522.76738551,42.7758660271,33.6195821392,50.2271578482,0.152034483765,0.725304570244,0.448030329593,-0.173334899837,0.147728410585
000852.SH,5,1752,101,6,1,True,2.84217094304e-13,BETWEEN,136.334446135,205.120520269,15.8941304473,-31.7882608945,309.66670551,11.6762342446,14.3220291952,17.5973493887,0.0950450315753,0.440261880627,0.662391263314,-0.102653143941,0.0930964959429
000852.SH,15,1752,101,6,1,True,1.64845914696e-12,TOTAL,5004.92189922,2493.97030175,333.225783539,-666.451567078,6832.44063389,70.7454726411,49.9396666163,82.6585787072,0.0943179399736,0.732523291076,0.36501894936,-0.0975422404363,0.0888733361165
000852.SH,15,1752,101,6,1,True,1.64845914696e-12,WITHIN,4744.31943021,2109.27246079,306.447243931,-612.894487862,6240.69740315,68.8790202472,45.9268163581,78.9980848068,0.0968729260108,0.760222635987,0.337986658307,-0.0982092942935,0.089426755723
000852.SH,15,1752,101,6,1,True,1.64845914696e-12,BETWEEN,260.602469005,384.697840955,26.7785396079,-53.5570792158,591.743230744,16.1431864576,19.6137156336,24.3257729732,0.0845741713335,0.44039788791,0.650109407202,-0.0905072951125,0.0829955888586
000852.SH,30,1752,101,6,1,True,3.75166564481e-12,TOTAL,9969.95366637,4745.42150213,765.56682311,-1531.13364622,13184.2415223,99.8496553142,68.8870198378,114.822652479,0.111301018248,0.756202292678,0.359931323627,-0.116133616305,0.104049922526
