carrier,horizon,spec,n,mean_increment_bp,iid_se_bp,graph_meat_bp2,graph_variance_bp2,occupied_blocks,edge_density,maximum_degree,mean_degree,largest_block_pair_fraction,incidence_effective_blocks,maximum_blocks_per_pair,graph_se_bp,used_se_bp,df_heuristic,point_lo_bp,point_hi_bp,family14_lo_bp,family14_hi_bp,family56_lo_bp,family56_hi_bp,p_two_sided_approx,p_bonferroni14_approx,p_bonferroni56_approx,inference_status,iid_floor_applied
512100.SH,1,L20_shift0,1271,-0.8613703471410961,0.47895160314155316,482596.99028781353,0.3039582407424726,61,0.051090033887384846,151,64.88434303697876,0.06766325727773406,50.739564914842404,2,0.5513240795960871,0.5513240795960871,60,-1.9641827027811658,0.24144200849897368,-2.5336828982777777,0.8109422039955856,-2.789219139595796,1.0664784453136038,0.12346114242203256,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,1,L20_shift10,1271,-0.8613703471410961,0.47895160314155316,521060.5655949728,0.32809588957800995,62,0.051083838753043356,141,64.87647521636507,0.06294256490952006,51.14887656509062,2,0.5727965516464026,0.5727965516464026,61,-2.0067478412170145,0.28400714693482243,-2.597651040296662,0.8749103460144698,-2.8625898327337858,1.1398491384515939,0.1377935068728,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,1,L5_shift0,1271,-0.8613703471410961,0.47895160314155316,538413.0441602537,0.33493243676327283,243,0.014760527082029774,55,18.745869394177813,0.022816679779701022,179.6699150141643,2,0.5787334764494558,0.5787334764494558,242,-2.001368307682049,0.27862761339985664,-2.564323460389639,0.8415827661074469,-2.808265691726787,1.0855249974445949,0.13795490380056707,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,1,L5_shift2,1271,-0.8613703471410961,0.47895160314155316,518898.2495011111,0.3227983138522121,242,0.015206576754616924,66,19.312352478363493,0.02753737214791503,175.06706868657156,2,0.5681534245714023,0.5681534245714023,241,-1.980550900240822,0.2578102059586298,-2.533259687982718,0.8105189937005259,-2.772773368236698,1.0500326739545056,0.13080773383046324,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,5,L20_shift0,1268,0.984380088481504,0.9408401776793012,2304882.5828848835,1.4585842588740332,61,0.05099230901381589,151,64.60725552050474,0.06782334384858044,50.79663469821398,3,1.207718617424619,1.207718617424619,60,-1.431416831559035,3.4001770085220433,-2.678951655780959,4.647711832743967,-3.2387238251601373,5.207484002123145,0.41825360248211113,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,5,L20_shift10,1268,0.984380088481504,0.9408401776793012,1970701.730134728,1.2467715509914634,62,0.05096367633621237,141,64.57097791798107,0.06309148264984227,51.25958505077487,2,1.1165892490040656,1.1165892490040656,61,-1.2483781085788124,3.2171382855418207,-2.4002638128449707,4.369023989807979,-2.916726082788998,4.885486259752006,0.38145623342039625,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,5,L5_shift0,1268,0.984380088481504,0.9408401776793012,2963119.994476059,1.8520140548937565,243,0.014760767754127463,55,18.701892744479494,0.022870662460567823,180.0122950819672,3,1.3608872307776851,1.3608872307776851,242,-1.696316174556045,3.6650763515190534,-3.0201008008064867,4.9888609777694946,-3.5937290445203858,5.562489221483394,0.4701714236004883,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,5,L5_shift2,1268,0.984380088481504,0.9408401776793012,2622931.5811925298,1.639416935808306,242,0.015243788576308575,66,19.313880126182966,0.027602523659305992,175.60854184323986,3,1.2803971789285955,1.2803971789285955,241,-1.5378182490215089,3.506578425984517,-2.783409214397851,4.752169391360859,-3.3231800355336127,5.291940212496621,0.44275982372616757,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,15,L20_shift0,1268,4.368361145540591,1.5597315726354521,7435235.318386951,4.705192913926893,61,0.05124502351614261,150,64.92744479495268,0.06703470031545741,50.73134191911689,3,2.169145664524836,2.169145664524836,60,0.029423797159886078,8.707298493921297,-2.2112345120374064,10.94795680311859,-3.216623811177109,11.95334610225829,0.048514737021103094,0.6792063182954433,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,15,L20_shift10,1268,4.368361145540591,1.5597315726354521,6260046.797794098,3.960441164696856,62,0.051269921496667405,177,64.9589905362776,0.062302839116719244,51.09542120140534,3,1.990085717926958,1.990085717926958,61,0.38893880781226065,8.347783483268922,-1.664055425106393,10.400777716187577,-2.58454090191041,11.321263192991593,0.03197476268483215,0.44764667758765014,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
