pair_id,event_day,control_day,horizon,clock_selected_before_eligibility,endpoint_eligible,retained_for_sensitivity,carrier
000852.SH:R1_A:350759:350757,2021-01-04,2021-01-04,1,True,True,True,512100.SH
000852.SH:R1_A:350810:407709,2021-01-05,2021-12-27,1,True,True,True,512100.SH
000852.SH:R1_A:350919:398439,2021-01-05,2021-11-02,1,True,True,True,512100.SH
000852.SH:R1_A:351523:351522,2021-01-08,2021-01-08,1,True,True,True,512100.SH
000852.SH:R1_A:351542:355126,2021-01-08,2021-01-29,1,True,True,True,512100.SH
000852.SH:R1_A:351659:361242,2021-01-08,2021-03-12,1,True,False,False,512100.SH
000852.SH:R1_A:351781:392810,2021-01-11,2021-09-23,1,True,True,True,512100.SH
000852.SH:R1_A:352316:352315,2021-01-13,2021-01-13,1,True,False,False,512100.SH
000852.SH:R1_A:352524:353711,2021-01-14,2021-01-21,1,True,True,True,512100.SH
000852.SH:R1_A:352618:360298,2021-01-14,2021-03-08,1,True,True,True,512100.SH
000852.SH:R1_A:353342:353340,2021-01-19,2021-01-19,1,True,True,True,512100.SH
000852.SH:R1_A:353993:353992,2021-01-22,2021-01-22,1,True,False,False,512100.SH
000852.SH:R1_A:354524:354521,2021-01-26,2021-01-26,1,True,True,True,512100.SH
000852.SH:R1_A:354630:368319,2021-01-26,2021-04-23,1,True,True,True,512100.SH
000852.SH:R1_A:354742:404439,2021-01-27,2021-12-07,1,True,True,True,512100.SH
000852.SH:R1_A:355134:355133,2021-01-29,2021-01-29,1,True,True,True,512100.SH
000852.SH:R1_A:355182:360705,2021-01-29,2021-03-10,1,True,True,True,512100.SH
000852.SH:R1_A:355254:404444,2021-01-29,2021-12-07,1,True,True,True,512100.SH
000852.SH:R1_A:355377:358482,2021-02-01,2021-02-25,1,True,True,True,512100.SH
000852.SH:R1_A:355854:355853,2021-02-03,2021-02-03,1,True,True,True,512100.SH
000852.SH:R1_A:356091:394736,2021-02-04,2021-10-12,1,True,True,True,512100.SH
000852.SH:R1_A:356135:360697,2021-02-04,2021-03-10,1,True,True,True,512100.SH
000852.SH:R1_A:356189:404439,2021-02-04,2021-12-07,1,False,True,False,512100.SH
000852.SH:R1_A:356304:358479,2021-02-04,2021-02-24,1,True,True,True,512100.SH
000852.SH:R1_A:356573:356572,2021-02-08,2021-02-08,1,True,True,True,512100.SH
000852.SH:R1_A:356602:383978,2021-02-08,2021-07-30,1,True,True,True,512100.SH
000852.SH:R1_A:357288:357287,2021-02-18,2021-02-18,1,True,True,True,512100.SH
000852.SH:R1_A:357346:383740,2021-02-18,2021-07-29,1,True,True,True,512100.SH
000852.SH:R1_A:357522:390420,2021-02-19,2021-09-07,1,True,True,True,512100.SH
000852.SH:R1_A:357554:358270,2021-02-19,2021-02-24,1,True,True,True,512100.SH
000852.SH:R1_A:357870:357869,2021-02-22,2021-02-22,1,True,True,True,512100.SH
000852.SH:R1_A:357978:383894,2021-02-22,2021-07-29,1,True,True,True,512100.SH
000852.SH:R1_A:358731:358730,2021-02-26,2021-02-26,1,True,True,True,512100.SH
000852.SH:R1_A:359082:359081,2021-03-01,2021-03-01,1,True,True,True,512100.SH
000852.SH:R1_A:359217:399789,2021-03-02,2021-11-10,1,True,True,True,512100.SH
000852.SH:R1_A:359759:359755,2021-03-04,2021-03-04,1,True,True,True,512100.SH
000852.SH:R1_A:359951:405070,2021-03-05,2021-12-10,1,True,True,True,512100.SH
000852.SH:R1_A:360456:360455,2021-03-09,2021-03-09,1,True,True,True,512100.SH
000852.SH:R1_A:361854:361853,2021-03-17,2021-03-17,1,True,True,True,512100.SH
000852.SH:R1_A:362003:379523,2021-03-17,2021-07-05,1,True,False,False,512100.SH
000852.SH:R1_A:362324:362323,2021-03-19,2021-03-19,1,True,True,True,512100.SH
000852.SH:R1_A:362651:362650,2021-03-22,2021-03-22,1,True,True,True,512100.SH
000852.SH:R1_A:362827:400509,2021-03-23,2021-11-15,1,True,True,True,512100.SH
000852.SH:R1_A:362941:363654,2021-03-23,2021-03-26,1,True,False,False,512100.SH
000852.SH:R1_A:363012:363743,2021-03-23,2021-03-26,1,True,False,False,512100.SH
000852.SH:R1_A:363298:363297,2021-03-25,2021-03-25,1,True,True,True,512100.SH
000852.SH:R1_A:365321:365562,2021-04-07,2021-04-08,1,True,False,False,512100.SH
000852.SH:R1_A:365709:365708,2021-04-09,2021-04-09,1,True,False,False,512100.SH
