carrier,horizon,n_observed,mean_increment_bp,primary_se_bp,primary_point_lo_bp,primary_point_hi_bp,primary_family14_lo_bp,primary_family14_hi_bp,primary_family14_positive,all_four_family56_positive,unique_controls,maximum_control_reuse,control_equal_weight_increment_bp,clock_disjoint_n,clock_disjoint_increment_bp,leave_year_out_min_increment_bp,gamma_to_zero_pooled_bp,missing_etf_mean_to_zero_pooled_bp
512100.SH,1,1271,-0.8613703471410962,0.5513240795960871,-1.9641827027811658,0.24144200849897368,-2.5336828982777777,0.8109422039955856,False,False,1180,4,-0.4451180520763255,1130,-0.47508862040569644,-1.3098105210453563,45.55400021115176,43.792068448653325
512100.SH,5,1268,0.9843800884815043,1.207718617424619,-1.431416831559035,3.4001770085220433,-2.678951655780959,4.647711832743967,False,False,1178,4,0.8881418333350148,1036,0.6596336406543971,0.6585901617820478,-47.77464930861148,-44.57835543551954
512100.SH,15,1268,4.368361145540591,2.169145664524836,0.029423797159886078,8.707298493921297,-2.2112345120374064,10.94795680311859,False,False,1177,4,3.7804483955116464,901,2.815879648132798,2.599981824232277,-199.957542547416,-197.82435473376677
512100.SH,30,1259,7.073796684740677,3.676022325220349,-0.27934276607338315,14.42693613555474,-4.07655661966861,18.224149989149964,False,False,1170,4,6.356197032297422,759,6.404993163558297,4.995141728033736,-231.91362103693473,-240.7002709753652
512100.SH,60,1261,6.976346922546371,5.076702681213096,-3.1785703936981413,17.131264238790884,-8.422642394955878,22.375336240048618,False,False,1170,4,5.7044167779013915,644,-0.9529366121136817,3.5578174856629166,-257.9266301573457,-251.3478134094564
512100.SH,120,1265,7.026176853075836,6.533171259986394,-6.042111389121108,20.09446509527278,-12.790668993390685,26.843022699542356,False,False,1174,4,5.782788620825718,515,-0.22082923912162494,0.7349502915072361,-269.7551309222871,-286.7133457787398
512100.SH,240,1261,4.131361681875243,7.528597673665909,-10.928075847580304,19.19079921133079,-18.704877198446795,26.967600562197276,False,False,1171,4,4.1428890190957475,396,0.5082529970899232,-2.8083276525743783,-134.84032808937317,-148.84705945270517
588000.SH,1,1802,0.6304762827847616,0.5747779592522574,-0.5192508172493301,1.7802033828188537,-1.1129781226141136,2.3739306881836373,False,False,1625,5,0.2843115104727718,1515,0.1808965562386639,0.1606242659904894,,
588000.SH,5,1802,1.9216638161445505,0.9666690618338013,-0.011962202850170245,3.8552898351392724,-1.0105005219059946,4.853828154195097,False,False,1625,5,1.5781077865804451,1297,1.487638585071377,1.1788150619547917,,
588000.SH,15,1802,3.1180378283437116,2.8508856828508886,-2.584582593874558,8.820658250561982,-5.529456605021588,11.76553226170901,False,False,1625,5,2.0103599474959952,1048,1.3844022022575901,1.0823445417004065,,
588000.SH,30,1801,3.963135602640273,3.6969867042400666,-3.431938849866811,11.358210055147358,-7.2508082385493875,15.177079443829934,False,False,1624,5,2.4273600791592416,847,1.9099413877059153,0.7964159604454772,-7108.466222099203,-7137.607220355133
588000.SH,60,1801,1.559648621534163,5.987624458086846,-10.417383541016273,13.536680784084597,-16.6024086934438,19.721705936512123,False,False,1624,5,0.686080536010261,666,-2.164083505103414,-5.190458382627268,-3107.738407359438,-2808.927167383027
588000.SH,120,1802,2.127484975680922,7.0476869530697455,-11.969987886782809,16.224957838144654,-19.250023796900578,23.50499374826242,False,False,1625,5,0.9304716386702034,500,-8.39217082023865,-3.522891709713486,,
588000.SH,240,1801,6.462454941251029,13.197117023055517,-19.93570949683424,32.8606193793363,-33.56791059737025,46.492820479872314,False,False,1625,5,3.850832258616429,383,0.831227720229714,-4.691781725170433,-10813.455864782489,-11638.881349193107
