horizon,group,field,absolute_error
1,POOLED,enhanced_mae_bp,1.77635683940025e-15
1,POOLED,enhanced_mean_error_bp,2.22044604925031e-16
1,POOLED,enhanced_mean_prediction_bp,3.05311331771918e-16
1,POOLED,enhanced_mse_bp2,0
1,POOLED,enhanced_rmse_bp,1.77635683940025e-15
1,POOLED,mean_loss_improvement_bp2,4.44089209850063e-16
1,POOLED,median_loss_improvement_bp2,1.38777878078145e-17
1,POOLED,parent_mae_bp,0
1,POOLED,parent_mean_error_bp,5.55111512312578e-16
1,POOLED,parent_mean_prediction_bp,5.55111512312578e-17
1,POOLED,parent_mse_bp2,4.2632564145606e-14
1,POOLED,parent_rmse_bp,1.77635683940025e-15
1,POOLED,past_mean_forecast_mse_bp2,2.8421709430404e-14
1,POOLED,positive_loss_improvement_fraction,4.44089209850063e-16
1,POOLED,relative_mse_reduction,1.58293517182884e-16
1,POOLED,target_mean_bp,1.11022302462516e-16
1,POOLED,target_median_bp,0
1,POOLED,zero_forecast_mse_bp2,4.2632564145606e-14
1,YEAR_2016,enhanced_mae_bp,1.77635683940025e-15
1,YEAR_2016,enhanced_mean_error_bp,4.02455846426619e-16
1,YEAR_2016,enhanced_mean_prediction_bp,7.28583859910259e-17
1,YEAR_2016,enhanced_mse_bp2,3.12638803734444e-13
1,YEAR_2016,enhanced_rmse_bp,2.8421709430404e-14
1,YEAR_2016,mean_loss_improvement_bp2,1.91860416443035e-15
1,YEAR_2016,median_loss_improvement_bp2,2.15105711021124e-16
1,YEAR_2016,parent_mae_bp,3.5527136788005e-15
1,YEAR_2016,parent_mean_error_bp,3.05311331771918e-16
1,YEAR_2016,parent_mean_prediction_bp,5.55111512312578e-17
1,YEAR_2016,parent_mse_bp2,4.54747350886464e-13
1,YEAR_2016,parent_rmse_bp,2.48689957516035e-14
1,YEAR_2016,past_mean_forecast_mse_bp2,5.11590769747272e-13
1,YEAR_2016,positive_loss_improvement_fraction,2.22044604925031e-16
1,YEAR_2016,relative_mse_reduction,1.16118052673198e-16
1,YEAR_2016,target_mean_bp,5.89805981832114e-16
1,YEAR_2016,target_median_bp,0
1,YEAR_2016,zero_forecast_mse_bp2,3.97903932025656e-13
1,YEAR_2017,enhanced_mae_bp,4.44089209850063e-15
