layer,index_symbol,carrier,horizon,effect_bp_ASSUMED,family_size,target_power,budget_trading_days,prior_required_days_CONDITIONAL,required_variance_ratio,required_variance_reduction,required_information_multiplier,balanced_independent_controls_limit_ratio,infinite_controls_sufficient_in_balanced_model,measured_R_squared,real_matching_changed
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,2,1,0.8,243,739.4372916308082,0.3286282728100855,0.6713717271899144,3.0429518174107333,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,2,1,0.8,486,739.4372916308082,0.657256545620171,0.342743454379829,1.5214759087053666,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,2,14,0.8,243,1328.599081196873,0.18289941897377548,0.8171005810262245,5.467485930851328,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,2,14,0.8,486,1328.599081196873,0.36579883794755097,0.634201162052449,2.733742965425664,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,4,1,0.8,243,184.85932290770205,1.314513091240342,0.0,0.7607379543526833,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,4,1,0.8,486,184.85932290770205,2.629026182480684,0.0,0.38036897717634166,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,4,14,0.8,243,332.14977029921823,0.7315976758951019,0.26840232410489806,1.366871482712832,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,4,14,0.8,486,332.14977029921823,1.4631953517902039,0.0,0.683435741356416,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,6,1,0.8,243,82.1596990700898,2.9576544552907698,0.0,0.3381057574900815,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,6,1,0.8,486,82.1596990700898,5.9153089105815395,0.0,0.16905287874504074,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,6,14,0.8,243,147.62212013298588,1.6460947707639793,0.0,0.6074984367612588,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,6,14,0.8,486,147.62212013298588,3.2921895415279585,0.0,0.3037492183806294,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,2,1,0.8,243,722.8766977831542,0.33615691409780957,0.6638430859021904,2.974801225445079,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,2,1,0.8,486,722.8766977831542,0.6723138281956191,0.32768617180438087,1.4874006127225394,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,2,14,0.8,243,1298.843495403327,0.18708951529571446,0.8129104847042855,5.345034960507519,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,2,14,0.8,486,1298.843495403327,0.37417903059142893,0.625820969408571,2.6725174802537595,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,4,1,0.8,243,180.71917444578855,1.3446276563912383,0.0,0.7437003063612697,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,4,1,0.8,486,180.71917444578855,2.6892553127824765,0.0,0.37185015318063486,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,4,14,0.8,243,324.7108738508318,0.7483580611828579,0.25164193881714214,1.3362587401268797,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,4,14,0.8,486,324.7108738508318,1.4967161223657157,0.0,0.6681293700634399,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,6,1,0.8,243,80.31963308701714,3.025412226880286,0.0,0.33053346949389767,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,6,1,0.8,486,80.31963308701714,6.050824453760572,0.0,0.16526673474694883,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,6,14,0.8,243,144.315943933703,1.68380563766143,0.0,0.5938927733897243,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,6,14,0.8,486,144.315943933703,3.36761127532286,0.0,0.2969463866948622,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,2,1,0.8,243,3085.8159196105103,0.07874740630370178,0.9212525936962982,12.69883094489922,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,2,1,0.8,486,3085.8159196105103,0.15749481260740356,0.8425051873925964,6.34941547244961,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,2,14,0.8,243,5544.502883395543,0.043827193367998195,0.9561728066320018,22.81688429380882,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,2,14,0.8,486,5544.502883395543,0.08765438673599639,0.9123456132640037,11.40844214690441,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,4,1,0.8,243,771.4539799026276,0.3149896252148071,0.6850103747851929,3.174707736224805,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,4,1,0.8,486,771.4539799026276,0.6299792504296142,0.3700207495703858,1.5873538681124024,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,4,14,0.8,243,1386.1257208488857,0.17530877347199278,0.8246912265280072,5.704221073452205,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,4,14,0.8,486,1386.1257208488857,0.35061754694398556,0.6493824530560144,2.8521105367261024,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,6,1,0.8,243,342.86843551227895,0.7087266567333159,0.2912733432666841,1.4109812160999133,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,6,1,0.8,486,342.86843551227895,1.4174533134666318,0.0,0.7054906080499567,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,6,14,0.8,243,616.0558759328381,0.39444474031198373,0.6055552596880163,2.5352093659787576,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,6,14,0.8,486,616.0558759328381,0.7888894806239675,0.21111051937603253,1.2676046829893788,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,2,1,0.8,243,3468.8204863860465,0.07005263055660944,0.9299473694433905,14.274981425456982,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,2,1,0.8,486,3468.8204863860465,0.1401052611132189,0.8598947388867811,7.137490712728491,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,2,14,0.8,243,6232.6741742833865,0.03898808010895891,0.9610119198910411,25.648864914746444,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,2,14,0.8,486,6232.6741742833865,0.07797616021791783,0.9220238397820821,12.824432457373222,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,4,1,0.8,243,867.2051215965116,0.2802105222264378,0.7197894777735623,3.5687453563642455,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,4,1,0.8,486,867.2051215965116,0.5604210444528755,0.43957895554712445,1.7843726781821228,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,4,14,0.8,243,1558.1685435708466,0.15595232043583565,0.8440476795641644,6.412216228686611,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,4,14,0.8,486,1558.1685435708466,0.3119046408716713,0.6880953591283288,3.2061081143433054,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,6,1,0.8,243,385.4244984873385,0.630473675009485,0.36952632499051496,1.586109047272998,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,6,1,0.8,486,385.4244984873385,1.26094735001897,0.0,0.793054523636499,0.5,True,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,6,14,0.8,243,692.519352698154,0.35089272098063023,0.6491072790193697,2.8498738794162715,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,6,14,0.8,486,692.519352698154,0.7017854419612605,0.29821455803873953,1.4249369397081357,0.5,True,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,2,1,0.8,243,10111.601045471174,0.024031802570853588,0.9759681974291464,41.611526936095366,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,2,1,0.8,486,10111.601045471174,0.048063605141707176,0.9519363948582928,20.805763468047683,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,2,14,0.8,243,18168.226042283382,0.013374998716685923,0.9866250012833141,74.76636231392338,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,2,14,0.8,486,18168.226042283382,0.026749997433371846,0.9732500025666282,37.38318115696169,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,4,1,0.8,243,2527.9002613677935,0.09612721028341435,0.9038727897165857,10.402881734023842,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,4,1,0.8,486,2527.9002613677935,0.1922544205668287,0.8077455794331713,5.201440867011921,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,4,14,0.8,243,4542.056510570846,0.05349999486674369,0.9465000051332563,18.691590578480845,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,4,14,0.8,486,4542.056510570846,0.10699998973348739,0.8930000102665127,9.345795289240423,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,6,1,0.8,243,1123.511227274575,0.21628622313768228,0.7837137768623177,4.6235029928994855,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,6,1,0.8,486,1123.511227274575,0.43257244627536456,0.5674275537246354,2.3117514964497428,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,6,14,0.8,243,2018.6917824759316,0.12037498845017329,0.8796250115498268,8.307373590435933,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,6,14,0.8,486,2018.6917824759316,0.24074997690034658,0.7592500230996534,4.153686795217967,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,2,1,0.8,243,11189.939472422086,0.021715935157547564,0.9782840648424524,46.04913363136661,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,2,1,0.8,486,11189.939472422086,0.04343187031509513,0.9565681296849049,23.024566815683304,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,2,14,0.8,243,20105.7526716295,0.012086093167896595,0.9879139068321035,82.73972292851646,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,2,14,0.8,486,20105.7526716295,0.02417218633579319,0.9758278136642068,41.36986146425823,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,4,1,0.8,243,2797.4848681055214,0.08686374063019026,0.9131362593698098,11.512283407841652,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,4,1,0.8,486,2797.4848681055214,0.1737274812603805,0.8262725187396195,5.756141703920826,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,4,14,0.8,243,5026.438167907375,0.04834437267158638,0.9516556273284136,20.684930732129114,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,4,14,0.8,486,5026.438167907375,0.09668874534317276,0.9033112546568273,10.342465366064557,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,6,1,0.8,243,1243.3266080468984,0.19544341641792806,0.8045565835820719,5.116570403485179,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,6,1,0.8,486,1243.3266080468984,0.3908868328358561,0.6091131671641439,2.5582852017425894,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,6,14,0.8,243,2233.9725190699446,0.10877483851106934,0.8912251614889306,9.19330254761294,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,6,14,0.8,486,2233.9725190699446,0.21754967702213868,0.7824503229778613,4.59665127380647,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,2,1,0.8,243,27192.5335743568,0.008936276545748379,0.9910637234542516,111.90343034714732,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,2,1,0.8,486,27192.5335743568,0.017872553091496757,0.9821274469085033,55.95171517357366,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,2,14,0.8,243,48858.74100645685,0.004973521523362355,0.9950264784766376,201.06477780434915,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,2,14,0.8,486,48858.74100645685,0.00994704304672471,0.9900529569532753,100.53238890217457,0.5,False,False,False
