K_controls,control_error_correlation_ASSUMED,variance_ratio_balanced_model,information_multiplier_balanced_model,empirical_R1A_decomposition
1,0.0,1.0,1.0,False
1,0.25,1.0,1.0,False
1,0.5,1.0,1.0,False
1,0.75,1.0,1.0,False
2,0.0,0.75,1.3333333333333333,False
2,0.25,0.8125,1.2307692307692308,False
2,0.5,0.875,1.1428571428571428,False
2,0.75,0.9375,1.0666666666666667,False
5,0.0,0.6,1.6666666666666667,False
5,0.25,0.7,1.4285714285714286,False
5,0.5,0.8,1.25,False
5,0.75,0.9,1.1111111111111112,False
10,0.0,0.55,1.8181818181818181,False
10,0.25,0.6625,1.509433962264151,False
10,0.5,0.775,1.2903225806451613,False
10,0.75,0.8875,1.1267605633802817,False
infinity,0.0,0.5,2.0,False
infinity,0.25,0.625,1.6,False
infinity,0.5,0.75,1.3333333333333333,False
infinity,0.75,0.875,1.1428571428571428,False
