contract_code,option_type,strike,expiry,timestamp,bid1,bid1_size,ask1,ask1_size,last_price,volume,open_interest,trading_status
MO2302-C-6500,C,6500.0,2023-02-17,2022-12-06 09:32:49.4,330.6,7,342.0,12,334.4,0,116,TRADING
MO2302-C-6600,C,6600.0,2023-02-17,2022-12-06 09:32:49.4,273.6,1,285.2,7,268.2,0,102,TRADING
MO2302-C-6700,C,6700.0,2023-02-17,2022-12-06 09:32:49.4,223.8,1,234.0,12,219.2,0,118,TRADING
MO2302-C-6800,C,6800.0,2023-02-17,2022-12-06 09:32:49.4,181.8,6,189.8,12,177.0,0,40,TRADING
MO2302-C-6900,C,6900.0,2023-02-17,2022-12-06 09:32:49.4,144.0,1,153.4,6,151.2,0,12,TRADING
MO2302-C-7000,C,7000.0,2023-02-17,2022-12-06 09:32:49.4,114.0,1,121.6,6,115.0,0,140,TRADING
MO2302-C-7100,C,7100.0,2023-02-17,2022-12-06 09:32:49.4,87.8,6,92.8,1,93.0,0,76,TRADING
MO2302-C-7200,C,7200.0,2023-02-17,2022-12-06 09:32:49.4,66.8,6,72.6,6,68.6,0,26,TRADING
MO2302-C-7300,C,7300.0,2023-02-17,2022-12-06 09:32:49.4,50.8,21,54.4,6,52.2,0,37,TRADING
MO2302-P-6300,P,6300.0,2023-02-17,2022-12-06 09:32:49.4,98.8,6,104.0,1,99.6,0,68,TRADING
MO2302-P-6400,P,6400.0,2023-02-17,2022-12-06 09:32:49.4,127.2,13,134.0,1,132.6,0,102,TRADING
MO2302-P-6500,P,6500.0,2023-02-17,2022-12-06 09:32:49.4,165.0,7,172.8,1,175.4,0,119,TRADING
MO2302-P-6600,P,6600.0,2023-02-17,2022-12-06 09:32:49.4,209.0,1,216.4,7,218.2,0,52,TRADING
MO2302-P-6800,P,6800.0,2023-02-17,2022-12-06 09:32:49.4,312.6,1,322.0,1,314.0,0,8,TRADING
MO2302-P-6900,P,6900.0,2023-02-17,2022-12-06 09:32:49.4,371.8,6,384.0,1,386.4,0,2,TRADING
MO2302-P-7000,P,7000.0,2023-02-17,2022-12-06 09:32:49.4,440.2,6,452.4,1,500.0,0,14,TRADING
MO2302-P-7100,P,7100.0,2023-02-17,2022-12-06 09:32:49.4,512.8,6,526.6,7,535.8,0,4,TRADING
MO2302-P-7200,P,7200.0,2023-02-17,2022-12-06 09:32:49.4,591.2,6,604.2,6,730.2,0,15,TRADING
MO2212-C-8200,C,8200.0,2022-12-16,2022-12-06 09:32:49.4,0.6,10,0.8,50,0.6,0,321,TRADING
