SecurityID,DateTime,SettlementGroupID,SettlementID,LastPrice,PreSettlementPrice,PreClosePrice,PreOpenInterest,OpenPrice,HighPrice,LowPrice,Volume,Turnover,AveragePrice,OpenInterest,ClosePrice,SettlementPrice,UpperLimitPrice,LowerLimitPrice,PreDelta,CurrDelta,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,DerivedQuoteStatus
MO2302-C-6500,20221206093249400,SG01,1,334.4,334.0,334.4,116,0.0,0.0,0.0,0,0,334.4,116,0,0,1005.4,0.2,0,0,330.6,329.4,329.2,328.0,327.4,7,24,12,30,12,342.0,342.4,342.6,342.8,343.2,12,5,12,36,18,EXECUTABLE
MO2302-C-6600,20221206093249400,SG01,1,268.2,280.6,268.2,102,0.0,0.0,0.0,0,0,268.2,102,0,0,952.0,0.2,0,0,273.6,273.4,273.0,272.8,272.4,1,6,6,13,36,285.2,285.4,286.0,286.6,287.4,7,16,18,30,6,EXECUTABLE
MO2302-C-6700,20221206093249400,SG01,1,219.2,228.8,219.2,118,0.0,0.0,0.0,0,0,219.2,118,0,0,900.2,0.2,0,0,223.8,223.6,223.4,223.0,222.8,1,1,12,42,18,234.0,234.2,234.8,235.0,235.6,12,16,24,25,6,EXECUTABLE
MO2302-C-6800,20221206093249400,SG01,1,177.0,186.0,177.0,40,0.0,0.0,0.0,0,0,177.0,40,0,0,857.4,0.2,0,0,181.8,181.4,180.8,180.0,179.8,6,7,6,30,18,189.8,190.0,190.6,190.8,192.0,12,12,22,24,19,EXECUTABLE
MO2302-C-6900,20221206093249400,SG01,1,151.2,146.6,151.2,12,0.0,0.0,0.0,0,0,151.2,12,0,0,818.0,0.2,0,0,144.0,143.8,143.6,143.0,142.8,1,18,1,6,42,153.4,153.6,153.8,154.2,154.4,6,13,10,30,30,EXECUTABLE
MO2302-C-7000,20221206093249400,SG01,1,115.0,115.6,115.0,140,0.0,0.0,0.0,0,0,115.0,140,0,0,787.0,0.2,0,0,114.0,113.4,112.8,112.6,111.8,1,6,12,1,36,121.6,121.8,122.0,122.2,122.4,6,22,7,31,6,EXECUTABLE
MO2302-C-7100,20221206093249400,SG01,1,93.0,90.2,93.0,76,0.0,0.0,0.0,0,0,93.0,76,0,0,761.6,0.2,0,0,87.8,87.2,87.0,86.8,86.4,6,37,18,18,12,92.8,93.4,93.8,94.2,94.4,1,10,6,51,18,EXECUTABLE
MO2302-C-7200,20221206093249400,SG01,1,68.6,69.4,68.6,26,0.0,0.0,0.0,0,0,68.6,26,0,0,740.8,0.2,0,0,66.8,66.6,66.4,66.2,66.0,6,12,1,24,18,72.6,72.8,73.4,73.6,73.8,6,16,30,15,21,EXECUTABLE
MO2302-C-7300,20221206093249400,SG01,1,52.2,53.2,52.2,37,0.0,0.0,0.0,0,0,52.2,37,0,0,724.6,0.2,0,0,50.8,50.6,50.4,50.2,50.0,21,9,12,24,6,54.4,54.6,54.8,55.0,55.2,6,7,15,18,24,EXECUTABLE
MO2302-P-6300,20221206093249400,SG01,1,99.6,101.2,99.6,68,0.0,0.0,0.0,0,0,99.6,68,0,0,772.6,0.2,0,0,98.8,98.6,98.4,98.2,97.8,6,22,18,6,24,104.0,104.2,104.4,104.6,104.8,1,18,30,18,6,EXECUTABLE
