confirm_idx,entry_idx,exit_idx,horizon_end_idx,parent_sign,option_type,confirm_day,entry_day,exit_day,horizon_day,entry_ts,exit_ts,entry_spot,exit_spot,exit_class,holding_bars,structural_outcome,contract_code,expiry,strike,entry_ask,exit_bid,option_entry_ts,option_exit_ts,net_cny,premium_return,entry_premium_cny,exit_premium_cny,intrinsic_at_entry,time_to_expiry_days,spot_move,status
440772,440773,440821.0,441973,1,C,2022-07-22,2022-07-22,2022-07-25,2022-07-29,2022-07-22 14:33:00+08:00,2022-07-25 09:51:00+08:00,7025.3,7011.8,temporal_completion,48.0,recovery,MO2208-C-7000,2022-08-19,7000.0,160.0,164.0,2022-07-22 14:33:02.900000+08:00,2022-07-25 09:51:04.100000+08:00,372.0,0.02499999999999991,16000.0,16400.0,25.300000000000182,28.0,-0.0019216261227278375,completed_two_leg
442025,442026,442241.0,443226,1,C,2022-08-01,2022-08-01,2022-08-02,2022-08-08,2022-08-01 09:56:00+08:00,2022-08-02 09:31:00+08:00,7123.8,7072.09,temporal_completion,215.0,failure,MO2208-C-7100,2022-08-19,7100.0,147.8,130.2,2022-08-01 09:56:05+08:00,2022-08-02 09:31:02.200000+08:00,-1788.0000000000023,-0.11907983761840335,14780.000000000002,13019.999999999998,23.800000000000182,18.0,-0.007258766388725135,completed_two_leg
442357,442358,442364.0,443558,-1,P,2022-08-02,2022-08-02,2022-08-02,2022-08-09,2022-08-02 11:28:00+08:00,2022-08-02 13:04:00+08:00,6876.97,6947.59,temporal_completion,6.0,failure,MO2208-P-6900,2022-08-19,6900.0,214.6,150.8,2022-08-02 11:28:09.700000+08:00,2022-08-02 13:04:02.700000+08:00,-6407.999999999998,-0.29729729729729726,21460.0,15080.000000000002,23.029999999999745,17.0,0.010269057448265784,completed_two_leg
442462,442463,442481.0,443663,-1,P,2022-08-02,2022-08-02,2022-08-03,2022-08-09,2022-08-02 14:43:00+08:00,2022-08-03 09:31:00+08:00,6995.61,7038.66,temporal_completion,18.0,failure,MO2208-P-7000,2022-08-19,7000.0,191.4,135.2,2022-08-02 14:43:11.200000+08:00,2022-08-03 09:31:14.800000+08:00,-5648.000000000002,-0.2936259143155696,19140.0,13519.999999999998,4.390000000000327,17.0,0.006153859348934532,completed_two_leg
442560,442561,442615.0,443761,-1,P,2022-08-03,2022-08-03,2022-08-03,2022-08-10,2022-08-03 10:51:00+08:00,2022-08-03 13:15:00+08:00,7024.64,7051.07,parent_failure,54.0,failure,MO2208-P-7000,2022-08-19,7000.0,161.4,144.0,2022-08-03 10:51:02.800000+08:00,2022-08-03 13:16:08.800000+08:00,-1768.0000000000005,-0.10780669144981414,16140.0,14400.0,0.0,16.0,0.003762470389941708,completed_two_leg
442670,442671,442721.0,443871,-1,P,2022-08-03,2022-08-03,2022-08-04,2022-08-10,2022-08-03 14:11:00+08:00,2022-08-04 09:31:00+08:00,7020.13,6957.3,temporal_completion,50.0,recovery,MO2208-P-7000,2022-08-19,7000.0,167.8,191.4,2022-08-03 14:11:57.800000+08:00,2022-08-04 09:31:09.800000+08:00,2331.9999999999995,0.1406436233611441,16780.0,19140.0,0.0,16.0,-0.008949976709832996,completed_two_leg
442721,442722,442726.0,443922,1,C,2022-08-04,2022-08-04,2022-08-04,2022-08-11,2022-08-04 09:32:00+08:00,2022-08-04 09:36:00+08:00,6958.61,6925.63,temporal_completion,4.0,failure,MO2208-C-7000,2022-08-19,7000.0,115.2,104.0,2022-08-04 09:32:02.300000+08:00,2022-08-04 09:36:10.300000+08:00,-1148.0000000000002,-0.09722222222222221,11520.0,10400.0,0.0,15.0,-0.004739452275669964,completed_two_leg
442876,442877,443873.0,444077,1,C,2022-08-04,2022-08-04,2022-08-10,2022-08-11,2022-08-04 13:37:00+08:00,2022-08-10 14:13:00+08:00,6901.16,7180.22,temporal_completion,996.0,recovery,MO2208-C-6900,2022-08-19,6900.0,117.4,278.2,2022-08-04 13:37:00.800000+08:00,2022-08-10 14:14:32.200000+08:00,16051.999999999998,1.3696763202725721,11740.0,27820.0,1.1599999999998545,15.0,0.04043668021028357,completed_two_leg
445630,445631,446092.0,446831,1,C,2022-08-22,2022-08-22,2022-08-24,2022-08-29,2022-08-22 10:01:00+08:00,2022-08-24 09:42:00+08:00,7237.39,7248.61,temporal_completion,461.0,censored,MO2209-C-7200,2022-09-16,7200.0,152.8,144.0,2022-08-22 10:01:02.700000+08:00,2022-08-24 09:42:02.500000+08:00,-908.0000000000011,-0.05759162303664933,15280.000000000002,14400.0,37.39000000000033,25.0,0.0015502826295112904,completed_two_leg
447115,447116,447233.0,448316,-1,P,2022-08-30,2022-08-30,2022-08-30,2022-09-06,2022-08-30 10:46:00+08:00,2022-08-30 14:13:00+08:00,6974.75,6993.16,temporal_completion,117.0,recovery,MO2209-P-7000,2022-09-16,7000.0,182.6,158.6,2022-08-30 10:46:06.700000+08:00,2022-08-30 14:13:08.200000+08:00,-2428.0,-0.1314348302300109,18260.0,15860.0,25.25,17.0,0.0026395211297896015,completed_two_leg
447456,447457,447534.0,448657,-1,P,2022-08-31,2022-08-31,2022-09-01,2022-09-07,2022-08-31 13:57:00+08:00,2022-09-01 09:44:00+08:00,6809.23,6789.71,temporal_completion,77.0,recovery,MO2209-P-6800,2022-09-16,6800.0,141.8,146.6,2022-08-31 13:57:01+08:00,2022-09-01 09:44:04.700000+08:00,451.9999999999983,0.03385049365303239,14180.000000000002,14660.0,0.0,16.0,-0.002866697115532779,completed_two_leg
