trading_day,prior_trading_day_for_contract_selection,entry_bbo_window_start,entry_bbo_window_end,entry_action,exit_bbo_window_start,exit_bbo_window_end,exit_action,exit_window_basis,cash_index_1m_outcome,cash_index_3s_observed_outcome
2025-01-02,2024-12-31,2025-01-02 09:39:57+08:00,2025-01-02 09:40:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-01-02 09:42:27+08:00,2025-01-02 09:42:39+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,stop_first,stop_first
2025-01-13,2025-01-10,2025-01-13 09:49:57+08:00,2025-01-13 09:50:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-01-13 09:50:06+08:00,2025-01-13 09:50:18+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-01-15,2025-01-14,2025-01-15 09:49:57+08:00,2025-01-15 09:50:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-01-15 09:50:09+08:00,2025-01-15 09:50:21+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,stop_first,stop_first
2025-02-25,2025-02-24,2025-02-25 09:44:57+08:00,2025-02-25 09:45:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-02-25 09:47:00+08:00,2025-02-25 09:47:12+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-03-11,2025-03-10,2025-03-11 09:39:57+08:00,2025-03-11 09:40:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-03-11 09:40:24+08:00,2025-03-11 09:40:36+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-03-21,2025-03-20,2025-03-21 09:39:57+08:00,2025-03-21 09:40:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-03-21 09:40:21+08:00,2025-03-21 09:40:33+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-03-27,2025-03-26,2025-03-27 09:54:57+08:00,2025-03-27 09:55:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-03-27 09:55:39+08:00,2025-03-27 09:55:51+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-03-31,2025-03-28,2025-03-31 09:54:57+08:00,2025-03-31 09:55:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-03-31 09:55:06+08:00,2025-03-31 09:55:18+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-04-09,2025-04-08,2025-04-09 09:54:57+08:00,2025-04-09 09:55:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-04-09 09:56:09+08:00,2025-04-09 09:56:21+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-04-18,2025-04-17,2025-04-18 09:44:57+08:00,2025-04-18 09:45:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-04-18 09:45:21+08:00,2025-04-18 09:45:33+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-04-22,2025-04-21,2025-04-22 09:44:57+08:00,2025-04-22 09:45:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-04-22 09:45:03+08:00,2025-04-22 09:45:15+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,stop_first,stop_first
2025-04-24,2025-04-23,2025-04-24 09:39:57+08:00,2025-04-24 09:40:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-04-24 09:41:09+08:00,2025-04-24 09:41:21+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,stop_first,stop_first
