symbol,independent_judge_state,predicted_state,count
000852.SH,UpTrend,UpTrend,5666
000852.SH,UpTrend,DownTrend,27
000852.SH,UpTrend,Range,61
000852.SH,UpTrend,Shock,362
000852.SH,UpTrend,Uncertain,139
000852.SH,DownTrend,UpTrend,49
000852.SH,DownTrend,DownTrend,3434
000852.SH,DownTrend,Range,49
000852.SH,DownTrend,Shock,343
000852.SH,DownTrend,Uncertain,128
000852.SH,Range,UpTrend,1087
000852.SH,Range,DownTrend,595
000852.SH,Range,Range,2626
000852.SH,Range,Shock,802
000852.SH,Range,Uncertain,1338
000852.SH,Shock,UpTrend,177
000852.SH,Shock,DownTrend,237
000852.SH,Shock,Range,108
000852.SH,Shock,Shock,3298
000852.SH,Shock,Uncertain,17
000688.SH,UpTrend,UpTrend,1415
000688.SH,UpTrend,DownTrend,14
000688.SH,UpTrend,Range,20
000688.SH,UpTrend,Shock,209
000688.SH,UpTrend,Uncertain,18
000688.SH,DownTrend,UpTrend,21
000688.SH,DownTrend,DownTrend,2323
000688.SH,DownTrend,Range,31
000688.SH,DownTrend,Shock,126
000688.SH,DownTrend,Uncertain,48
000688.SH,Range,UpTrend,345
000688.SH,Range,DownTrend,458
000688.SH,Range,Range,1560
000688.SH,Range,Shock,637
000688.SH,Range,Uncertain,464
000688.SH,Shock,UpTrend,98
000688.SH,Shock,DownTrend,111
000688.SH,Shock,Range,65
000688.SH,Shock,Shock,1359
000688.SH,Shock,Uncertain,29
