source,symbol,trading_day,from_state,to_state,change_start_time,event_time,bar_ordinal_day,judge_center_eligible_ordinal,judge_available_eligible_ordinal,judge_available_event_time,matched,match_id,event_role,eligible_ordinal
independent_judge_center_v3,000852.SH,2015-01-26,Range,UpTrend,2015-01-26 11:05:00+08:00,2015-01-26 11:10:00+08:00,19,7.0,15.0,2015-01-26 13:20:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-02-12,UpTrend,Range,2015-02-12 13:25:00+08:00,2015-02-12 13:30:00+08:00,29,17.0,25.0,2015-02-12 14:10:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-02-26,DownTrend,UpTrend,2015-02-26 13:35:00+08:00,2015-02-26 13:40:00+08:00,31,19.0,27.0,2015-02-26 14:20:00+08:00,True,1,judge,
independent_judge_center_v3,000852.SH,2015-03-04,Range,UpTrend,2015-03-04 13:45:00+08:00,2015-03-04 13:50:00+08:00,33,21.0,29.0,2015-03-04 14:30:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-03-05,UpTrend,Range,2015-03-05 13:35:00+08:00,2015-03-05 13:40:00+08:00,31,19.0,27.0,2015-03-05 14:20:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-03-17,UpTrend,Shock,2015-03-17 13:30:00+08:00,2015-03-17 13:35:00+08:00,30,18.0,26.0,2015-03-17 14:15:00+08:00,True,2,judge,
independent_judge_center_v3,000852.SH,2015-03-25,Shock,Range,2015-03-25 10:50:00+08:00,2015-03-25 10:55:00+08:00,16,4.0,12.0,2015-03-25 13:05:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-03-26,Shock,Range,2015-03-26 13:40:00+08:00,2015-03-26 13:45:00+08:00,32,20.0,28.0,2015-03-26 14:25:00+08:00,True,3,judge,
independent_judge_center_v3,000852.SH,2015-04-02,UpTrend,Range,2015-04-02 13:05:00+08:00,2015-04-02 13:10:00+08:00,25,13.0,21.0,2015-04-02 13:50:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-04-03,Range,UpTrend,2015-04-03 13:15:00+08:00,2015-04-03 13:20:00+08:00,27,15.0,23.0,2015-04-03 14:00:00+08:00,False,,judge,
