source,symbol,trading_day,from_state,to_state,change_start_time,event_time,bar_ordinal_day,judge_center_eligible_ordinal,judge_available_eligible_ordinal,judge_available_event_time,matched,match_id,event_role,eligible_ordinal
independent_judge_center_v3,000688.SH,2025-01-03,Range,DownTrend,2025-01-03 11:10:00+08:00,2025-01-03 11:15:00+08:00,20,8.0,16.0,2025-01-03 13:25:00+08:00,True,1,judge,
independent_judge_center_v3,000688.SH,2025-01-08,DownTrend,UpTrend,2025-01-08 13:20:00+08:00,2025-01-08 13:25:00+08:00,28,16.0,24.0,2025-01-08 14:05:00+08:00,False,,judge,
independent_judge_center_v3,000688.SH,2025-01-08,UpTrend,Shock,2025-01-08 13:35:00+08:00,2025-01-08 13:40:00+08:00,31,19.0,27.0,2025-01-08 14:20:00+08:00,False,,judge,
independent_judge_center_v3,000688.SH,2025-01-14,Shock,UpTrend,2025-01-14 13:35:00+08:00,2025-01-14 13:40:00+08:00,31,19.0,27.0,2025-01-14 14:20:00+08:00,False,,judge,
independent_judge_center_v3,000688.SH,2025-01-16,Shock,DownTrend,2025-01-16 10:45:00+08:00,2025-01-16 10:50:00+08:00,15,3.0,11.0,2025-01-16 11:30:00+08:00,True,2,judge,
independent_judge_center_v3,000688.SH,2025-01-16,DownTrend,Range,2025-01-16 13:25:00+08:00,2025-01-16 13:30:00+08:00,29,17.0,25.0,2025-01-16 14:10:00+08:00,False,,judge,
independent_judge_center_v3,000688.SH,2025-01-24,Range,DownTrend,2025-01-24 13:30:00+08:00,2025-01-24 13:35:00+08:00,30,18.0,26.0,2025-01-24 14:15:00+08:00,True,3,judge,
independent_judge_center_v3,000688.SH,2025-02-06,UpTrend,Range,2025-02-06 11:25:00+08:00,2025-02-06 11:30:00+08:00,23,11.0,19.0,2025-02-06 13:40:00+08:00,True,4,judge,
independent_judge_center_v3,000688.SH,2025-02-10,Range,UpTrend,2025-02-10 11:15:00+08:00,2025-02-10 11:20:00+08:00,21,9.0,17.0,2025-02-10 13:30:00+08:00,True,5,judge,
independent_judge_center_v3,000688.SH,2025-02-12,DownTrend,Range,2025-02-12 13:10:00+08:00,2025-02-12 13:15:00+08:00,26,14.0,22.0,2025-02-12 13:55:00+08:00,True,6,judge,
independent_judge_center_v3,000688.SH,2025-02-17,Shock,Range,2025-02-17 13:40:00+08:00,2025-02-17 13:45:00+08:00,32,20.0,28.0,2025-02-17 14:25:00+08:00,False,,judge,
independent_judge_center_v3,000688.SH,2025-02-18,Range,DownTrend,2025-02-18 13:45:00+08:00,2025-02-18 13:50:00+08:00,33,21.0,29.0,2025-02-18 14:30:00+08:00,False,,judge,
independent_judge_center_v3,000688.SH,2025-02-20,DownTrend,UpTrend,2025-02-20 11:30:00+08:00,2025-02-20 13:05:00+08:00,24,12.0,20.0,2025-02-20 13:45:00+08:00,True,7,judge,
independent_judge_center_v3,000688.SH,2025-02-25,UpTrend,Range,2025-02-25 13:20:00+08:00,2025-02-25 13:25:00+08:00,28,16.0,24.0,2025-02-25 14:05:00+08:00,False,,judge,
independent_judge_center_v3,000688.SH,2025-03-19,Range,DownTrend,2025-03-19 13:15:00+08:00,2025-03-19 13:20:00+08:00,27,15.0,23.0,2025-03-19 14:00:00+08:00,True,8,judge,
