symbol,oracle_state,predicted_state,count
000852.SH,UpTrend,UpTrend,4380
000852.SH,UpTrend,DownTrend,167
000852.SH,UpTrend,Range,437
000852.SH,UpTrend,Shock,701
000852.SH,UpTrend,Uncertain,5685
000852.SH,DownTrend,UpTrend,293
000852.SH,DownTrend,DownTrend,2198
000852.SH,DownTrend,Range,371
000852.SH,DownTrend,Shock,443
000852.SH,DownTrend,Uncertain,5078
000852.SH,Range,UpTrend,397
000852.SH,Range,DownTrend,300
000852.SH,Range,Range,1172
000852.SH,Range,Shock,307
000852.SH,Range,Uncertain,3880
000852.SH,Shock,UpTrend,213
000852.SH,Shock,DownTrend,836
000852.SH,Shock,Range,159
000852.SH,Shock,Shock,5222
000852.SH,Shock,Uncertain,1529
000688.SH,UpTrend,UpTrend,1025
000688.SH,UpTrend,DownTrend,86
000688.SH,UpTrend,Range,209
000688.SH,UpTrend,Shock,307
000688.SH,UpTrend,Uncertain,1830
000688.SH,DownTrend,UpTrend,58
000688.SH,DownTrend,DownTrend,1698
000688.SH,DownTrend,Range,225
000688.SH,DownTrend,Shock,355
000688.SH,DownTrend,Uncertain,2911
000688.SH,Range,UpTrend,168
000688.SH,Range,DownTrend,282
000688.SH,Range,Range,959
000688.SH,Range,Shock,258
000688.SH,Range,Uncertain,2493
000688.SH,Shock,UpTrend,183
000688.SH,Shock,DownTrend,184
000688.SH,Shock,Range,104
000688.SH,Shock,Shock,2061
000688.SH,Shock,Uncertain,533
