symbol,oracle_available_state,predicted_state,count
000852.SH,UpTrend,UpTrend,15849
000852.SH,UpTrend,DownTrend,0
000852.SH,UpTrend,Range,0
000852.SH,UpTrend,Shock,5
000852.SH,UpTrend,Uncertain,0
000852.SH,DownTrend,UpTrend,5
000852.SH,DownTrend,DownTrend,11142
000852.SH,DownTrend,Range,6
000852.SH,DownTrend,Shock,18
000852.SH,DownTrend,Uncertain,5
000852.SH,Range,UpTrend,0
000852.SH,Range,DownTrend,0
000852.SH,Range,Range,9714
000852.SH,Range,Shock,14
000852.SH,Range,Uncertain,0
000852.SH,Shock,UpTrend,72
000852.SH,Shock,DownTrend,38
000852.SH,Shock,Range,36
000852.SH,Shock,Shock,7596
000852.SH,Shock,Uncertain,2
000688.SH,UpTrend,UpTrend,4709
000688.SH,UpTrend,DownTrend,4
000688.SH,UpTrend,Range,0
000688.SH,UpTrend,Shock,4
000688.SH,UpTrend,Uncertain,0
000688.SH,DownTrend,UpTrend,0
000688.SH,DownTrend,DownTrend,6938
000688.SH,DownTrend,Range,7
000688.SH,DownTrend,Shock,7
000688.SH,DownTrend,Uncertain,0
000688.SH,Range,UpTrend,0
000688.SH,Range,DownTrend,0
000688.SH,Range,Range,6520
000688.SH,Range,Shock,0
000688.SH,Range,Uncertain,0
000688.SH,Shock,UpTrend,75
000688.SH,Shock,DownTrend,28
000688.SH,Shock,Range,28
000688.SH,Shock,Shock,3780
000688.SH,Shock,Uncertain,0
