symbol,trading_day,market_time_shanghai,recognition_eligible,v2_score_eligible,eligible_ordinal_day,online_state,online_decoded_state,oracle_state,oracle_confirmed_center_state,oracle_available_state
000852.SH,2015-01-05,2015-01-05 09:35:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 09:40:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 09:45:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 09:50:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 09:55:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 10:00:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 10:05:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 10:10:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 10:15:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 10:20:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 10:25:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 10:30:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 10:35:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 10:40:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 10:45:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 10:50:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
000852.SH,2015-01-05,2015-01-05 10:55:00+08:00,False,False,,Uncertain,Uncertain,Uncertain,Uncertain,
